end_date,state,pollster,population,sample_size,numeric_grade,poll_score,pct,candidate,national_poll,recency,sample_size_weight,recency_weight,combined_weight
2024-08-18,Pennsylvania,Pollster D,lv,1728,1.0620788340456784,1.105613335268572,47.9,Donald Trump,0,79,0.7513043478260869,3.707435404590882e-4,2.7854123387534974e-4
2024-10-31,Michigan,Pollster D,rv,1611,1.157572015770711,1.4884588145650923,69.6,Donald Trump,0,5,0.7004347826086956,0.6065306597126334,0.42483517078132715
2024-09-21,Wisconsin,Pollster B,rv,2290,1.4250362653983757,0.0783840415533632,37.9,Kamala Harris,0,45,0.9956521739130435,0.011108996538242306,0.011060696553293427
2024-10-15,Georgia,Pollster A,rv,1401,2.787104427232407,-1.1044893014477566,78.2,Donald Trump,0,21,0.6091304347826086,0.1224564282529819,0.0745919373836642
2024-08-06,Wisconsin,Pollster C,lv,1525,2.4525109406095,1.8544215213041753,73.8,Kamala Harris,0,91,0.6630434782608695,1.1166580849011478e-4,7.403928606409784e-5
2024-08-04,National,Pollster D,lv,1205,1.4695487411227077,-0.3222884751157835,45.7,Donald Trump,1,93,0.5239130434782608,9.142423147817327e-5,4.789834736139078e-5
2024-08-16,North Carolina,Pollster B,lv,1945,1.0017392302397639,-0.5742680410621688,46.8,Kamala Harris,0,81,0.8456521739130435,3.035391380788668e-4,2.566885319840852e-4
2024-07-27,Michigan,Pollster D,lv,247,1.8827206357382238,-0.5613372924271971,59.2,Kamala Harris,0,101,0.10739130434782608,4.107955522530065e-5,4.411587017673591e-6
2024-07-21,Pennsylvania,Pollster C,rv,140,1.0554002692224458,1.9659641338512301,30.8,Kamala Harris,0,107,0.06086956521739131,2.254493791321217e-5,1.372300568630306e-6
2024-08-17,Pennsylvania,Pollster D,lv,1684,0.672701949486509,0.22052916197571903,49.9,Donald Trump,0,80,0.7321739130434782,3.3546262790251185e-4,2.456169849512304e-4
2024-08-26,Arizona,Pollster B,lv,1024,2.944909665500745,0.270368201774545,57.8,Donald Trump,0,71,0.44521739130434784,8.251049232659038e-4,3.673510614888198e-4
2024-08-01,North Carolina,Pollster B,rv,2117,2.631530063925311,1.274632059619762,73.6,Donald Trump,0,96,0.9204347826086956,6.772873649085378e-5,6.233988484832062e-5
2024-10-09,Wisconsin,Pollster D,rv,83,1.0774008593289182,-0.5319726791931316,76.5,Kamala Harris,0,27,0.03608695652173913,0.06720551273974976,0.0024252424162605345
2024-09-25,Wisconsin,Pollster D,lv,229,1.7094187777256593,0.4337636537384242,49,Donald Trump,0,41,0.09956521739130435,0.016572675401761237,0.0016500620291318797
2024-10-12,North Carolina,Pollster B,rv,1649,1.5536857537226751,0.9209489384666085,55.7,Donald Trump,0,24,0.7169565217391304,0.09071795328941247,0.06504082824967007
2024-08-28,National,Pollster D,lv,1306,2.9012448894791305,1.5448399037122726,65.6,Kamala Harris,1,69,0.5678260869565217,0.0010077854290485105,5.72246856668415e-4
2024-10-22,Arizona,Pollster B,rv,2219,0.7798525342950597,1.7695773760788143,70.3,Donald Trump,0,14,0.9647826086956521,0.24659696394160643,0.2379124621680107
2024-09-08,Pennsylvania,Pollster C,rv,662,1.8740856957156211,0.8270654736552387,70.6,Donald Trump,0,58,0.28782608695652173,0.0030275547453758127,8.714092354081687e-4
2024-07-30,Wisconsin,Pollster B,lv,703,1.0977063160389662,-1.2760768269654363,75.9,Kamala Harris,0,98,0.3056521739130435,5.5451599432176945e-5,1.6948901913400173e-5
2024-08-14,Michigan,Pollster C,lv,1273,1.5619461681926623,-1.4370488164713606,66,Donald Trump,0,83,0.5534782608695652,2.4851682710795185e-4,1.375486612645316e-4
2024-08-09,Pennsylvania,Pollster D,lv,1989,1.7651452707359567,0.7459822826785967,50.9,Kamala Harris,0,88,0.8647826086956522,1.507330750954765e-4,1.303513418977838e-4
2024-10-02,North Carolina,Pollster B,lv,1431,2.84881023701746,-0.5340003354940563,40.4,Donald Trump,0,34,0.6221739130434782,0.033373269960326066,0.020763977962272435
2024-10-12,Michigan,Pollster A,rv,2137,2.3174267833819613,-0.7541039730422199,66.4,Kamala Harris,0,24,0.9291304347826087,0.09071795328941247,0.0842888113823802
2024-08-27,Michigan,Pollster B,rv,746,1.690237409900874,0.06851163413375616,30.2,Kamala Harris,0,70,0.3243478260869565,9.118819655545162e-4,2.957669331755083e-4
2024-08-27,Wisconsin,Pollster A,lv,1540,2.3001656100386754,1.149289256776683,66.4,Kamala Harris,0,70,0.6695652173913044,9.118819655545162e-4,6.105644465017196e-4
2024-10-01,Wisconsin,Pollster D,rv,278,1.3772879699245095,0.521701472112909,54.5,Kamala Harris,0,35,0.1208695652173913,0.0301973834223185,0.003649944604958497
2024-10-23,Wisconsin,Pollster B,rv,916,1.7041544209932908,1.4534473324893042,33.1,Donald Trump,0,13,0.3982608695652174,0.2725317930340126,0.1085387488778937
2024-10-04,Nevada,Pollster B,lv,785,2.7979377320734784,1.9572622771374881,66.7,Kamala Harris,0,32,0.34130434782608693,0.04076220397836621,0.013912317444790205
2024-09-05,Michigan,Pollster C,rv,2255,2.2480901104863733,1.002535168430768,75.2,Kamala Harris,0,61,0.9804347826086957,0.002242867719485801,0.0021989855249741224
2024-11-02,Arizona,Pollster B,rv,1206,0.843807804165408,1.8695315649965778,65.3,Kamala Harris,0,3,0.5243478260869565,0.7408182206817179,0.388446423540066
2024-10-18,Michigan,Pollster C,rv,791,1.8944923161761835,-0.5667519689304754,48.5,Donald Trump,0,18,0.34391304347826085,0.16529888822158653,0.05684844373185867
2024-10-17,Nevada,Pollster A,rv,2299,1.3026382059324533,-1.3444581498624757,78.9,Kamala Harris,0,19,0.9995652173913043,0.14956861922263504,0.14950358938819042
2024-09-25,Nevada,Pollster A,lv,1970,0.7824927802430466,-0.3621899662539363,53.7,Donald Trump,0,41,0.8565217391304348,0.016572675401761237,0.014194856757160713
2024-09-29,Arizona,Pollster B,rv,119,1.6317546298960224,-0.6421914846869186,65.3,Kamala Harris,0,37,0.05173913043478261,0.024723526470339388,0.0012791737608566901
2024-10-28,North Carolina,Pollster A,rv,1784,0.8322823793860152,0.3835600521415472,78.6,Kamala Harris,0,8,0.7756521739130435,0.44932896411722156,0.3485229878196188
2024-08-27,Wisconsin,Pollster B,rv,628,1.0470329447416589,1.6373571651056409,69.5,Kamala Harris,0,70,0.27304347826086955,9.118819655545162e-4,2.489834236383636e-4
2024-09-05,Michigan,Pollster B,lv,1458,2.817969994037412,1.5616380897117779,76.8,Donald Trump,0,61,0.6339130434782608,0.002242867719485801,0.0014217831021783903
2024-07-24,Arizona,Pollster D,rv,1835,0.9432200902374461,0.9442968616494909,36.6,Kamala Harris,0,104,0.7978260869565217,3.0432483008403625e-5,2.42798288349655e-5
2024-08-31,Arizona,Pollster D,lv,2244,0.9391043621581048,0.5214116014540195,49.5,Kamala Harris,0,66,0.9756521739130435,0.0013603680375478928,0.0013272460331554224
2024-08-07,Georgia,Pollster B,rv,1620,0.5113097089342773,-0.6115155536681414,32.3,Donald Trump,0,90,0.7043478260869566,1.2340980408667956e-4,8.692342722626995e-5
2024-09-18,Arizona,Pollster A,rv,1371,2.697602510568686,-0.3203072343021631,68.2,Kamala Harris,0,48,0.5960869565217392,0.008229747049020023,0.0049056448713941095
2024-07-24,Nevada,Pollster B,rv,956,2.945331895723939,1.2259888098342344,68.3,Kamala Harris,0,104,0.4156521739130435,3.0432483008403625e-5,1.2649327720014724e-5
2024-08-22,Pennsylvania,Pollster C,lv,1121,1.2383976405253634,-1.024327346822247,54,Kamala Harris,0,75,0.48739130434782607,5.530843701478336e-4,2.695685125807485e-4
2024-08-05,Wisconsin,Pollster C,rv,1689,2.955798515002243,-0.44054694124497473,32.7,Kamala Harris,0,92,0.7343478260869565,1.0103940183709324e-4,7.419806508819586e-5
2024-09-20,Arizona,Pollster B,lv,2120,2.7822713857749477,1.9961764820618555,54.7,Kamala Harris,0,46,0.9217391304347826,0.010051835744633576,0.009265170338531817
2024-10-15,North Carolina,Pollster C,rv,591,2.351265910663642,-1.426368529559113,33.7,Kamala Harris,0,21,0.2569565217391304,0.1224564282529819,0.03146597786848361
2024-09-15,Michigan,Pollster B,lv,1474,2.9901419098023325,-0.03499381139408797,63.9,Donald Trump,0,51,0.6408695652173914,0.006096746565515633,0.003907219320682627
2024-09-15,Wisconsin,Pollster B,lv,381,1.8104058988392353,0.5127128324238583,52.2,Kamala Harris,0,51,0.1656521739130435,0.006096746565515633,0.0010099393223745462
2024-08-26,Michigan,Pollster A,rv,1308,2.290046415408142,0.23314221412874758,54.1,Donald Trump,0,71,0.568695652173913,8.251049232659038e-4,4.692335824486097e-4
2024-10-16,North Carolina,Pollster D,lv,1689,1.9047441666480154,0.59433690586593,54.5,Donald Trump,0,20,0.7343478260869565,0.1353352832366127,0.09938317103766905
2024-08-20,Arizona,Pollster A,rv,747,2.4466154754627496,1.3946646432159469,39.1,Kamala Harris,0,77,0.3247826086956522,4.5282718288679695e-4,1.470703937462771e-4
2024-09-26,National,Pollster C,rv,1790,1.190583970863372,0.41556650097481906,58.2,Donald Trump,1,40,0.7782608695652173,0.01831563888873418,0.014254345048188772
2024-08-20,Michigan,Pollster D,rv,598,2.0944660670356825,1.100213485187851,34.2,Donald Trump,0,77,0.26,4.5282718288679695e-4,1.1773506755056721e-4
2024-07-22,Michigan,Pollster D,lv,936,1.0169700633268803,-0.06133059354033321,79.3,Donald Trump,0,106,0.40695652173913044,2.491600973150316e-5,1.0139732655950852e-5
2024-09-17,Michigan,Pollster B,rv,763,2.4074331363663077,0.27987933554686606,57,Kamala Harris,0,49,0.3317391304347826,0.007446583070924338,0.002470322992658813
2024-07-22,Georgia,Pollster C,rv,2133,1.4481053514173254,-0.3104042711202055,46.2,Donald Trump,0,106,0.9273913043478261,2.491600973150316e-5,2.3106890764041845e-5
2024-10-25,Nevada,Pollster A,lv,1302,2.3864747317275032,1.603397293947637,30.7,Donald Trump,0,11,0.5660869565217391,0.33287108369807955,0.18843397868473893
2024-10-05,Arizona,Pollster D,rv,1414,0.7133184793638065,1.0687457593157887,60.9,Kamala Harris,0,31,0.6147826086956522,0.0450492023935578,0.02769546616716988
2024-10-10,Arizona,Pollster C,rv,694,1.5024687997065485,-0.7113565535983071,79.8,Kamala Harris,0,26,0.3017391304347826,0.07427357821433388,0.02241124490467292
2024-09-06,Nevada,Pollster C,lv,881,1.2056306471349671,1.753939705202356,32,Kamala Harris,0,60,0.38304347826086954,0.0024787521766663585,9.494698554969834e-4
2024-09-17,Pennsylvania,Pollster C,lv,2240,2.156537182861939,0.9073575396323577,65.8,Donald Trump,0,49,0.9739130434782609,0.007446583070924338,0.007252324382117616
2024-09-01,Arizona,Pollster C,rv,1231,2.18650571256876,-0.3927385362330824,71.6,Kamala Harris,0,65,0.5352173913043479,0.0015034391929775724,8.046668028501703e-4
2024-10-26,Georgia,Pollster C,lv,1520,1.0821200495120138,1.4296908645192161,56.4,Kamala Harris,0,10,0.6608695652173913,0.36787944117144233,0.24312032633938796
2024-07-25,National,Pollster D,lv,382,1.6012283625314012,1.77983472449705,48.2,Kamala Harris,1,103,0.16608695652173913,3.363309518571897e-5,5.58601841780202e-6
2024-08-02,Arizona,Pollster A,lv,1699,2.7577857261057943,-0.7240829707589,73.1,Donald Trump,0,95,0.7386956521739131,7.48518298877006e-5,5.529272129530579e-5
2024-09-01,Arizona,Pollster D,lv,506,2.558417441439815,0.3467764287488535,48.3,Kamala Harris,0,65,0.22,0.0015034391929775724,3.3075662245506593e-4
2024-07-29,Pennsylvania,Pollster A,lv,1385,1.7984595244051889,0.10693432693369687,63.7,Donald Trump,0,99,0.6021739130434782,5.017468205617528e-5,3.0213884629479462e-5
2024-10-11,North Carolina,Pollster B,lv,1149,2.1956248902715743,-1.0058192963479087,58.9,Donald Trump,0,25,0.49956521739130433,0.0820849986238988,0.04100681018211292
2024-09-23,Nevada,Pollster C,rv,1620,1.1101548054721206,-1.3353723373729736,30.7,Donald Trump,0,43,0.7043478260869566,0.013568559012200934,0.00955698504337631
2024-08-12,Nevada,Pollster C,rv,718,0.8014791687019169,1.0200138810323551,45.4,Kamala Harris,0,85,0.31217391304347825,2.0346836901064417e-4,6.351751693462718e-5
2024-08-04,Georgia,Pollster D,rv,753,2.771272190264426,-1.2883113457355648,69.3,Kamala Harris,0,93,0.3273913043478261,9.142423147817327e-5,2.9931498392636726e-5
2024-10-25,National,Pollster C,rv,1626,1.4784773632418364,0.003923799027688801,63.4,Kamala Harris,1,11,0.7069565217391305,0.33287108369807955,0.2353253835187293
2024-08-11,National,Pollster D,lv,644,0.7432152372784913,-0.4165239065187052,56.4,Kamala Harris,1,86,0.28,1.841057936675792e-4,5.154962222692218e-5
2024-09-22,Michigan,Pollster B,rv,1165,0.6736407657153904,-0.5813932950841263,72.4,Kamala Harris,0,44,0.5065217391304347,0.012277339903068436,0.006218739559597708
2024-10-06,Wisconsin,Pollster D,rv,365,1.4871742757968605,1.4774644966237247,55.9,Donald Trump,0,30,0.15869565217391304,0.049787068367863944,0.007900991284465366
2024-10-11,Michigan,Pollster C,lv,2213,2.894991824403405,-1.0556424340466037,70,Donald Trump,0,25,0.9621739130434782,0.0820849986238988,0.07898004432812523
2024-07-21,Arizona,Pollster C,rv,2086,1.0097622302128002,1.9538114969618618,73.8,Donald Trump,0,107,0.9069565217391304,2.254493791321217e-5,2.044727847259156e-5
