end_date,state,pollster,population,sample_size,numeric_grade,pollscore,pct,candidate_name,national_poll,recency
2024-08-04,Arizona,Pollster B,lv,1956,1.559209096711129,-0.6551120420917869,73.5,Kamala Harris,0,93
2024-10-02,National,Pollster C,lv,1850,2.194533016998321,-1.0913949952227995,62.4,Kamala Harris,1,34
2024-10-03,Nevada,Pollster C,lv,1408,1.301171463681385,0.5416956029366702,68.2,Kamala Harris,0,33
2024-10-30,Pennsylvania,Pollster A,rv,900,2.7509030741639435,-0.7198902403470129,38.5,Donald Trump,0,6
2024-09-11,Georgia,Pollster D,rv,2145,2.49197118927259,-0.34891501790843904,37.4,Donald Trump,0,55
2024-10-05,Nevada,Pollster C,rv,1631,0.8892179689137265,0.9413772657280788,38.9,Donald Trump,0,31
2024-09-04,North Carolina,Pollster C,rv,1245,0.6201679348014295,1.5066969848703593,73.9,Donald Trump,0,62
2024-08-09,Michigan,Pollster C,lv,2256,0.8221424453658983,0.28284705826081336,46.5,Kamala Harris,0,88
2024-09-16,National,Pollster B,lv,902,1.0100905359722674,-0.17726385220885277,72.3,Donald Trump,1,50
2024-10-12,Wisconsin,Pollster D,lv,1130,2.145451109507121,1.2263482214184478,69.7,Kamala Harris,0,24
2024-10-31,Wisconsin,Pollster D,rv,482,1.795749651035294,-1.4953416804783046,75.6,Kamala Harris,0,5
2024-08-21,Pennsylvania,Pollster A,rv,269,0.7577039768220857,-1.16582010302227,56.7,Donald Trump,0,76
2024-08-18,Georgia,Pollster D,rv,447,2.8464894242351875,0.9341961196623743,66,Donald Trump,0,79
2024-08-09,North Carolina,Pollster D,rv,1625,0.7293868584092706,1.4246268010465428,58.9,Kamala Harris,0,88
2024-08-12,Nevada,Pollster C,rv,1648,1.4529866458615288,0.12310107797384262,48.5,Donald Trump,0,85
2024-08-28,North Carolina,Pollster A,rv,385,0.5136332801776007,-1.0907654443290085,55.8,Kamala Harris,0,69
2024-10-21,Georgia,Pollster D,lv,1749,1.4785175800789148,0.26393115404061973,61.2,Donald Trump,0,15
2024-09-30,Arizona,Pollster B,lv,1464,2.825368412421085,1.9106667670421302,78.7,Kamala Harris,0,36
2024-09-26,Wisconsin,Pollster A,lv,1164,1.1524241663282737,0.6126503654522821,53.6,Kamala Harris,0,40
2024-09-04,National,Pollster A,lv,1832,2.7573906497564167,-0.910106614115648,79.8,Kamala Harris,1,62
2024-09-08,Pennsylvania,Pollster B,lv,1921,2.5857899909606203,1.3077527971472591,44.8,Kamala Harris,0,58
2024-08-18,Pennsylvania,Pollster A,lv,97,1.9901625720085576,0.271430681925267,43.2,Kamala Harris,0,79
2024-09-13,Arizona,Pollster C,rv,2031,1.3320461853872985,0.5581978602567688,34.6,Kamala Harris,0,53
2024-09-19,Nevada,Pollster B,lv,656,2.026120350463316,-1.4042961741797626,73.9,Kamala Harris,0,47
2024-10-21,National,Pollster C,rv,2017,1.644570165197365,-1.1963517848635092,57.2,Donald Trump,1,15
2024-10-03,Wisconsin,Pollster C,lv,1154,1.1003137025982141,1.3251866906648502,70.1,Donald Trump,0,33
2024-09-26,Michigan,Pollster C,rv,923,1.2919034315273166,-0.3271730699343607,66.2,Donald Trump,0,40
2024-09-20,Nevada,Pollster A,lv,2086,2.091317377751693,0.9610373334726319,42.9,Donald Trump,0,46
2024-08-16,Wisconsin,Pollster D,lv,1793,2.0166566387051716,0.03996823960915208,44.8,Kamala Harris,0,81
2024-10-08,Arizona,Pollster D,rv,5,0.9505451914155856,-0.23169374943245202,54.5,Kamala Harris,0,28
2024-10-17,Arizona,Pollster C,rv,2183,0.5763233797624707,1.1232904688222334,64.3,Kamala Harris,0,19
2024-09-04,North Carolina,Pollster B,rv,559,1.635562568088062,1.7456510023912415,64.8,Donald Trump,0,62
2024-09-24,Georgia,Pollster D,rv,85,1.5029922233661637,0.011685886769555509,49,Donald Trump,0,42
2024-08-01,Pennsylvania,Pollster A,rv,1909,1.5559318290324882,0.7242657215101644,51.6,Donald Trump,0,96
2024-08-13,National,Pollster B,rv,1474,1.4408614377025515,-1.360435425187461,30,Kamala Harris,1,84
2024-10-05,Michigan,Pollster B,lv,1798,0.6110498636262491,1.1829410832142457,39.7,Kamala Harris,0,31
2024-10-01,Wisconsin,Pollster C,rv,418,1.608511485508643,-1.3136478235246614,69.9,Kamala Harris,0,35
2024-09-24,Wisconsin,Pollster C,rv,2199,1.0100915767252445,1.971905740792863,66.7,Donald Trump,0,42
2024-09-03,North Carolina,Pollster C,lv,1720,1.1913735129637644,1.988583785830997,45.2,Donald Trump,0,63
2024-10-19,National,Pollster A,lv,2155,2.0062718116678298,-1.3672318543540314,32.5,Donald Trump,1,17
2024-09-11,Nevada,Pollster A,rv,2299,1.4665368107380345,-1.0475857972633094,67.6,Kamala Harris,0,55
2024-09-05,North Carolina,Pollster D,lv,1581,2.7274727059993893,1.2666512442519888,37.8,Donald Trump,0,61
2024-09-05,Wisconsin,Pollster D,lv,1809,2.834022440481931,1.4855610850499943,74,Donald Trump,0,61
2024-09-22,North Carolina,Pollster B,lv,1201,1.8329047773731872,0.3888024629559368,47.8,Kamala Harris,0,44
2024-10-16,Georgia,Pollster B,lv,2039,2.543315600603819,-1.1750676257070154,59.5,Donald Trump,0,20
2024-07-21,Pennsylvania,Pollster D,lv,1325,0.6711171923670918,1.9705122811719775,44.5,Donald Trump,0,107
2024-09-07,North Carolina,Pollster A,rv,1848,2.046828610007651,0.6557113400194794,55.4,Donald Trump,0,59
2024-10-06,Nevada,Pollster D,lv,2083,1.6650217353599146,0.743608194636181,49.6,Kamala Harris,0,30
2024-10-30,National,Pollster B,rv,2062,2.3139679735759273,-0.0968057782156393,43.5,Donald Trump,1,6
2024-08-22,Georgia,Pollster A,rv,996,2.718863083398901,0.3137418953701854,43.4,Donald Trump,0,75
2024-10-11,National,Pollster A,rv,57,0.9247205384308472,0.11666602187324315,45.8,Donald Trump,1,25
2024-11-01,North Carolina,Pollster B,rv,1093,2.85748216684442,-1.4569897012552246,76.7,Kamala Harris,0,4
2024-09-02,North Carolina,Pollster C,lv,78,2.5945527381263673,0.5447614991571754,32.8,Donald Trump,0,64
2024-10-25,Wisconsin,Pollster A,rv,118,0.6801325607812032,-1.3213178886799142,52.8,Donald Trump,0,11
2024-09-26,Nevada,Pollster B,lv,1554,1.3224787842482328,-0.19703201984521002,35.7,Donald Trump,0,40
2024-08-04,North Carolina,Pollster A,rv,2122,0.9123480367707089,1.6768023212207481,58.8,Kamala Harris,0,93
2024-10-15,National,Pollster A,lv,1884,2.5527255698107183,-0.6428354317322373,54.2,Donald Trump,1,21
2024-09-01,Michigan,Pollster B,rv,1539,1.8594554498558864,1.5578572452068329,77.5,Donald Trump,0,65
2024-08-14,Pennsylvania,Pollster B,rv,1850,1.742271036026068,-0.8551247965078801,51.9,Donald Trump,0,83
2024-07-25,Nevada,Pollster A,lv,511,1.1953861063811928,-1.3111279224976897,32.5,Kamala Harris,0,103
2024-10-04,National,Pollster A,lv,976,0.7357261982979253,0.6219702706439421,66.7,Kamala Harris,1,32
2024-08-31,Michigan,Pollster B,lv,192,0.6960380072705448,1.6221900689415634,48.2,Donald Trump,0,66
2024-10-25,Michigan,Pollster D,lv,712,1.506819261237979,-0.9256910006515682,56.4,Donald Trump,0,11
2024-07-25,Pennsylvania,Pollster B,lv,2238,1.7963692750781775,0.7209472407121211,31.9,Donald Trump,0,103
2024-10-07,Michigan,Pollster C,lv,241,0.8491744492202997,0.2196425722213462,55.7,Kamala Harris,0,29
2024-09-09,North Carolina,Pollster B,rv,750,0.6149718224769458,1.040715970681049,39.3,Donald Trump,0,57
2024-10-10,Michigan,Pollster B,lv,774,0.7976787887746468,1.8852471695281565,40.7,Kamala Harris,0,26
2024-08-06,Michigan,Pollster D,rv,430,0.9434241284616292,0.8060122583992779,52.7,Kamala Harris,0,91
2024-10-12,Michigan,Pollster A,lv,794,0.913195580476895,1.5427061138907447,33.7,Kamala Harris,0,24
2024-08-30,North Carolina,Pollster A,lv,1001,2.914793146890588,0.6501711376477033,33.5,Donald Trump,0,67
2024-08-13,Georgia,Pollster D,rv,325,1.6298718821490183,-0.03551480849273503,69.7,Kamala Harris,0,84
2024-08-31,Pennsylvania,Pollster A,lv,2281,2.8157050466397777,-1.155464364332147,63.2,Kamala Harris,0,66
2024-09-20,Georgia,Pollster B,rv,1953,1.7113115499960259,1.2086962970206514,31.8,Kamala Harris,0,46
2024-09-30,Pennsylvania,Pollster A,lv,1931,2.347500599687919,-0.273897590697743,41.4,Kamala Harris,0,36
2024-08-16,Pennsylvania,Pollster C,lv,1959,1.343496120069176,1.5938996403710917,71.9,Kamala Harris,0,81
2024-08-31,Wisconsin,Pollster B,rv,112,1.0853277019923553,-1.4612731072120368,58.6,Kamala Harris,0,66
2024-11-01,Michigan,Pollster D,rv,967,0.9210915573639795,0.35444633988663554,66.8,Donald Trump,0,4
2024-08-29,Pennsylvania,Pollster A,lv,1516,2.854388641542755,1.9321349705569446,72,Donald Trump,0,68
2024-07-22,Nevada,Pollster C,lv,40,0.82936159404926,0.7124536661431193,76.6,Kamala Harris,0,106
2024-08-22,Arizona,Pollster D,lv,2072,1.0299315578304231,-0.8251164766261354,41.2,Donald Trump,0,75
2024-10-20,Michigan,Pollster B,rv,640,1.4431364003103226,-1.0304208223242313,63.8,Donald Trump,0,16
2024-09-27,National,Pollster D,rv,1243,1.8852965005207807,-1.2803348795277998,74,Donald Trump,1,39
2024-08-29,Wisconsin,Pollster B,lv,1744,0.5578023155685514,-0.22334532206878066,53.9,Donald Trump,0,68
2024-09-15,Wisconsin,Pollster D,lv,2237,1.4155415394343436,1.1113776257261634,54.6,Donald Trump,0,51
2024-08-18,North Carolina,Pollster D,rv,1763,2.4007722451351583,0.9218208590755239,68.6,Kamala Harris,0,79
2024-07-22,Wisconsin,Pollster C,rv,845,0.5373336538905278,-1.205323246307671,67.5,Kamala Harris,0,106
2024-09-13,Nevada,Pollster D,lv,1592,1.718271447578445,-1.4120839526876807,30.1,Donald Trump,0,53
2024-09-26,Wisconsin,Pollster D,lv,1642,0.7550091658486053,-0.7940929200267419,51.2,Donald Trump,0,40
2024-08-22,Michigan,Pollster C,lv,1089,1.1375408719759434,-0.5044408494140953,50.7,Donald Trump,0,75
2024-10-23,Pennsylvania,Pollster C,rv,1944,2.308566809631884,-1.1776324281236157,69.2,Donald Trump,0,13
2024-10-12,Wisconsin,Pollster C,rv,44,0.5013982952805236,1.8100130022503436,46.3,Donald Trump,0,24
2024-09-23,North Carolina,Pollster D,rv,1745,0.5409052276518196,-1.425796988653019,59,Kamala Harris,0,43
2024-08-27,North Carolina,Pollster B,lv,1720,1.7078769668005407,0.7718741230200976,78.5,Donald Trump,0,70
2024-10-18,Michigan,Pollster A,rv,1135,1.0649347824510187,1.962709717801772,67.6,Donald Trump,0,18
2024-10-29,North Carolina,Pollster D,lv,2113,1.432275953819044,1.2203682959079742,52.4,Kamala Harris,0,7
2024-08-09,Georgia,Pollster A,rv,1341,1.7725116038927808,0.030698105692863464,53,Kamala Harris,0,88
2024-09-25,National,Pollster A,lv,190,2.367628219188191,0.1416840673191473,64.7,Kamala Harris,1,41
2024-09-03,Nevada,Pollster A,rv,1413,1.8227364065824077,1.1841657413169742,42.6,Kamala Harris,0,63
2024-08-30,Pennsylvania,Pollster B,rv,1455,1.9424851932562888,-0.28090236720163375,53,Donald Trump,0,67
2024-09-22,Pennsylvania,Pollster A,rv,1300,2.425641107955016,-1.3782827488612384,64.9,Donald Trump,0,44
2024-08-28,North Carolina,Pollster C,lv,229,1.333418321562931,0.2007864642655477,69.8,Donald Trump,0,69
2024-10-26,Nevada,Pollster D,lv,351,1.7220117053948343,-0.3039926297497004,52.1,Donald Trump,0,10
2024-07-27,Pennsylvania,Pollster A,lv,1587,1.230764985200949,-0.26898403896484524,70.6,Kamala Harris,0,101
2024-08-31,North Carolina,Pollster A,lv,47,1.435470371041447,-0.6116764049511403,60.9,Donald Trump,0,66
2024-10-10,Arizona,Pollster A,lv,1130,1.7995951587799937,0.39114083361346275,40.6,Kamala Harris,0,26
2024-10-17,National,Pollster A,rv,1998,2.7342664055759087,1.3391068304190412,30.6,Kamala Harris,1,19
2024-07-22,Arizona,Pollster A,lv,827,1.1039304769365117,-1.1960791723104194,54.4,Kamala Harris,0,106
2024-08-12,North Carolina,Pollster D,rv,1496,1.446084827883169,1.763053608359769,40.1,Donald Trump,0,85
2024-10-24,Georgia,Pollster B,rv,999,1.53983651206363,-1.473456897190772,62.4,Donald Trump,0,12
2024-08-12,Arizona,Pollster D,rv,1079,1.3821961941430345,0.8063193561974913,72.6,Kamala Harris,0,85
2024-10-15,Nevada,Pollster B,lv,459,2.5926528034033254,1.504826258518733,41.3,Kamala Harris,0,21
2024-10-12,Arizona,Pollster A,rv,633,2.380422608810477,-0.6602742098039016,50.3,Kamala Harris,0,24
2024-07-29,Georgia,Pollster A,lv,1055,0.7413307328242809,-1.43487672356423,76.9,Donald Trump,0,99
2024-08-19,Nevada,Pollster B,lv,463,1.6369197157910094,-0.91639710648451,79.8,Kamala Harris,0,78
2024-10-09,Wisconsin,Pollster C,lv,444,2.9464929540408775,-1.1233003564411774,42.7,Kamala Harris,0,27
2024-09-09,Wisconsin,Pollster B,lv,138,1.592094091582112,1.2951357511337847,65.3,Kamala Harris,0,57
2024-11-02,Michigan,Pollster B,rv,1476,2.62531610915903,-0.13282053743023425,31,Donald Trump,0,3
2024-09-06,Nevada,Pollster A,rv,863,2.731682339333929,1.3502346627647057,60.4,Kamala Harris,0,60
2024-09-07,Michigan,Pollster C,rv,232,1.2771528203738853,-0.0587483235867694,79.6,Donald Trump,0,59
2024-10-24,Michigan,Pollster B,rv,1035,2.8034649225883186,-0.6697297636419535,77.9,Kamala Harris,0,12
2024-10-29,Georgia,Pollster A,lv,58,2.3429873819695786,-0.4059204653603956,62.3,Donald Trump,0,7
2024-08-10,National,Pollster A,lv,1772,2.8678781156195328,0.8986214942997321,63.6,Donald Trump,1,87
2024-09-22,Wisconsin,Pollster A,lv,706,2.695540401735343,0.4686145999003202,44.7,Donald Trump,0,44
2024-10-20,Pennsylvania,Pollster A,rv,236,0.7410826820414513,1.4527838431531563,50.2,Kamala Harris,0,16
2024-08-26,Nevada,Pollster D,lv,1726,0.6783932180842385,1.0827152384445071,39.2,Donald Trump,0,71
2024-10-30,Georgia,Pollster B,lv,391,0.6600787561619654,1.926744980039075,67.8,Kamala Harris,0,6
2024-08-16,National,Pollster C,lv,774,2.649580935947597,-0.7479911899426952,68.4,Donald Trump,1,81
2024-10-25,Michigan,Pollster C,lv,1921,1.9860112871974707,1.9773338591912761,40.2,Kamala Harris,0,11
2024-09-28,Arizona,Pollster B,lv,361,1.2661213056417182,-0.17732425476424396,63,Kamala Harris,0,38
2024-08-01,National,Pollster A,lv,1155,2.516282434342429,1.6493561879033223,33.9,Donald Trump,1,96
2024-10-02,Arizona,Pollster C,rv,1843,0.5981966673862189,0.24364256870467216,68.7,Kamala Harris,0,34
2024-10-12,Wisconsin,Pollster B,lv,1746,1.2765803684014827,-0.755623776698485,36,Kamala Harris,0,24
2024-10-04,Georgia,Pollster A,rv,670,2.115960571798496,1.4336454733274877,44.9,Kamala Harris,0,32
2024-08-16,Wisconsin,Pollster A,rv,430,2.9809450819157064,0.149881295976229,76.8,Donald Trump,0,81
2024-09-13,Arizona,Pollster A,rv,511,2.8016781453043222,1.3344371567945927,56.7,Donald Trump,0,53
2024-09-26,Nevada,Pollster D,rv,2060,1.0852367117768154,-1.2148256622022018,77.9,Kamala Harris,0,40
2024-10-03,Michigan,Pollster D,lv,972,2.832416287390515,-0.69353582279291,31,Kamala Harris,0,33
2024-10-20,Michigan,Pollster C,rv,1355,2.664452915894799,-1.2520278431475163,60.4,Donald Trump,0,16
2024-09-13,Nevada,Pollster A,lv,1346,1.952919042785652,1.7621431027073413,55.7,Kamala Harris,0,53
2024-09-20,Arizona,Pollster C,rv,641,1.3061742247082293,-0.6110338905127719,44.1,Donald Trump,0,46
2024-10-28,Michigan,Pollster A,lv,1212,2.171810176339932,-0.578906076727435,44.9,Kamala Harris,0,8
2024-09-29,Arizona,Pollster C,lv,1929,1.0172577989287674,-0.7476143051171675,49,Donald Trump,0,37
2024-10-07,Arizona,Pollster B,lv,1561,0.8057406417792663,1.1299512395635247,58.6,Kamala Harris,0,29
2024-07-25,Michigan,Pollster D,rv,982,1.7867159192683175,0.27766266965772957,48.4,Kamala Harris,0,103
2024-10-20,Nevada,Pollster C,lv,1733,1.1703042169101536,0.37643401825334877,78,Kamala Harris,0,16
2024-10-31,Georgia,Pollster D,lv,2079,1.5222748800879344,1.6679493261035532,42.9,Kamala Harris,0,5
2024-07-21,Pennsylvania,Pollster B,rv,414,0.6903850812232122,-1.181703971233219,55.1,Kamala Harris,0,107
2024-08-12,Arizona,Pollster C,rv,2280,0.946784952073358,-0.9421383152948692,48.4,Donald Trump,0,85
2024-09-21,Pennsylvania,Pollster C,lv,1152,1.4764733811607584,-0.16666319640353322,48.6,Donald Trump,0,45
2024-09-23,National,Pollster B,lv,1789,2.888076995848678,-0.893968885182403,65.3,Kamala Harris,1,43
2024-09-04,North Carolina,Pollster A,lv,69,2.754218661109917,1.8618607501266524,34.5,Donald Trump,0,62
2024-09-22,National,Pollster C,rv,356,2.391602582181804,1.2940061348490417,79.1,Donald Trump,1,44
2024-10-19,North Carolina,Pollster B,rv,508,2.5965418277774006,0.8925728949252516,69.9,Donald Trump,0,17
2024-08-23,Wisconsin,Pollster C,rv,996,1.6422348115593195,-0.6125394284026697,55.2,Donald Trump,0,74
2024-11-01,Wisconsin,Pollster C,rv,47,2.2934451781911775,-0.44114864186849445,47.6,Donald Trump,0,4
2024-08-10,Arizona,Pollster B,rv,627,0.75109768146649,0.45649748481810093,72.7,Donald Trump,0,87
2024-10-24,Pennsylvania,Pollster C,lv,947,1.7906319223111495,-1.130776375066489,71.5,Donald Trump,0,12
2024-09-11,Pennsylvania,Pollster B,lv,1110,1.3876805141335353,-1.1434748523170128,38.5,Kamala Harris,0,55
2024-08-13,Pennsylvania,Pollster A,rv,183,0.6291441411012784,-0.317220984143205,52.7,Donald Trump,0,84
2024-10-15,Arizona,Pollster A,lv,678,1.8755758671322837,1.110871265991591,65.6,Donald Trump,0,21
2024-09-05,Wisconsin,Pollster C,lv,1985,2.1302422410808504,0.5215554692549631,55.4,Kamala Harris,0,61
2024-09-15,Michigan,Pollster A,rv,1442,0.9699298302875832,1.8616736906114966,30.2,Kamala Harris,0,51
2024-08-30,Georgia,Pollster C,lv,753,1.1537086324533448,-0.012088645249605179,55.1,Kamala Harris,0,67
2024-09-08,National,Pollster A,lv,1151,2.669327847659588,0.554841038887389,43.2,Kamala Harris,1,58
2024-07-21,Pennsylvania,Pollster C,lv,1463,1.2400258706184104,0.6117652767570689,33,Donald Trump,0,107
2024-09-04,Georgia,Pollster B,rv,1735,1.6038307734997943,-1.2796016797656193,62.2,Donald Trump,0,62
2024-10-20,National,Pollster B,rv,1799,0.9549431789200753,0.8918947568163276,56.3,Donald Trump,1,16
2024-09-21,Pennsylvania,Pollster C,lv,1944,1.5933912213658914,0.48940021509770304,78.5,Kamala Harris,0,45
2024-09-28,North Carolina,Pollster D,rv,902,2.064056739443913,-0.2871548213297501,36.1,Donald Trump,0,38
2024-08-15,Nevada,Pollster C,rv,1398,1.0728369648568332,0.8699098866200075,52.1,Kamala Harris,0,82
2024-10-13,Georgia,Pollster C,lv,2232,0.731361425248906,-1.452387040713802,59.6,Donald Trump,0,23
2024-10-14,North Carolina,Pollster D,rv,1571,2.785531150409952,-1.094521552324295,40.5,Donald Trump,0,22
2024-09-30,Wisconsin,Pollster B,rv,1307,2.479558256571181,-0.5018045185133815,60.5,Donald Trump,0,36
2024-08-20,North Carolina,Pollster B,rv,127,1.6337655101669952,1.8462338832905516,62.3,Donald Trump,0,77
2024-09-13,North Carolina,Pollster B,lv,68,2.2706071079010144,0.6779060537228361,70.9,Donald Trump,0,53
2024-08-07,Arizona,Pollster A,lv,1568,2.7869605937739834,-0.09594437398482114,41.6,Donald Trump,0,90
2024-08-15,Pennsylvania,Pollster B,lv,2002,1.014659057953395,-1.2501577622024342,59.5,Donald Trump,0,82
2024-07-22,Wisconsin,Pollster B,rv,1882,2.914826822350733,1.4092910451581702,40.7,Kamala Harris,0,106
2024-07-28,Arizona,Pollster D,rv,354,0.8856740385526791,1.3087857540231198,72.3,Kamala Harris,0,100
