pollster,numeric_grade,state,candidate_name,party,pct,sample_size,population,methodology,recent_poll
Redfield & Wilton Strategies,1.8,Pennsylvania,Donald Trump,REP,48,1256,Voters,Online Panel,Recent
WPAi,1.7,Oklahoma,Kamala Harris,DEM,29,502,Voters,NA,Recent
WPAi,1.7,Oklahoma,Donald Trump,REP,65,502,Voters,NA,Recent
Research & Polling,2.1,New Mexico,Kamala Harris,DEM,50,1024,Voters,Live Phone,Recent
Research & Polling,2.1,New Mexico,Donald Trump,REP,41,1024,Voters,Live Phone,Recent
U. North Florida,2.8,Florida,Kamala Harris,DEM,43,977,Voters,Live Phone,Recent
U. North Florida,2.8,Florida,Donald Trump,REP,53,977,Voters,Live Phone,Recent
PPP,1.4,Washington,Kamala Harris,DEM,55,571,Voters,IVR/Text,Recent
PPP,1.4,Washington,Donald Trump,REP,40,571,Voters,IVR/Text,Recent
PPP,1.4,Oregon,Kamala Harris,DEM,53,716,Voters,IVR/Text,Recent
PPP,1.4,Oregon,Donald Trump,REP,41,716,Voters,IVR/Text,Recent
RMG Research,2.3,Florida,Kamala Harris,DEM,47,788,Voters,Online Panel,Recent
RMG Research,2.3,Florida,Donald Trump,REP,52,788,Voters,Online Panel,Recent
Siena,2.7,New York,Kamala Harris,DEM,54,872,Voters,Live Phone,Recent
Siena,2.7,New York,Donald Trump,REP,37,872,Voters,Live Phone,Recent
Siena,2.7,New York,Kamala Harris,DEM,58,872,Voters,Live Phone,Recent
Siena,2.7,New York,Donald Trump,REP,39,872,Voters,Live Phone,Recent
AtlasIntel,2.7,Arizona,Kamala Harris,DEM,48.6,1440,Voters,Online Ad,Recent
AtlasIntel,2.7,Arizona,Donald Trump,REP,49.2,1440,Voters,Online Ad,Recent
AtlasIntel,2.7,Arizona,Kamala Harris,DEM,49.3,1440,Voters,Online Ad,Recent
AtlasIntel,2.7,Arizona,Donald Trump,REP,49.2,1440,Voters,Online Ad,Recent
AtlasIntel,2.7,Georgia,Kamala Harris,DEM,48.1,1411,Voters,Online Ad,Recent
AtlasIntel,2.7,Georgia,Donald Trump,REP,49.5,1411,Voters,Online Ad,Recent
AtlasIntel,2.7,Georgia,Kamala Harris,DEM,48.4,1411,Voters,Online Ad,Recent
AtlasIntel,2.7,Georgia,Donald Trump,REP,50.1,1411,Voters,Online Ad,Recent
AtlasIntel,2.7,Michigan,Kamala Harris,DEM,46.8,1529,Voters,Online Ad,Recent
AtlasIntel,2.7,Michigan,Donald Trump,REP,49.6,1529,Voters,Online Ad,Recent
AtlasIntel,2.7,Michigan,Kamala Harris,DEM,47.3,1529,Voters,Online Ad,Recent
AtlasIntel,2.7,Michigan,Donald Trump,REP,50.2,1529,Voters,Online Ad,Recent
AtlasIntel,2.7,Nevada,Kamala Harris,DEM,48.1,1171,Voters,Online Ad,Recent
AtlasIntel,2.7,Nevada,Donald Trump,REP,48.4,1171,Voters,Online Ad,Recent
AtlasIntel,2.7,Nevada,Kamala Harris,DEM,48.4,1171,Voters,Online Ad,Recent
AtlasIntel,2.7,Nevada,Donald Trump,REP,48.3,1171,Voters,Online Ad,Recent
AtlasIntel,2.7,North Carolina,Kamala Harris,DEM,49.5,1674,Voters,Online Ad,Recent
AtlasIntel,2.7,North Carolina,Donald Trump,REP,48.8,1674,Voters,Online Ad,Recent
AtlasIntel,2.7,North Carolina,Kamala Harris,DEM,50.5,1674,Voters,Online Ad,Recent
AtlasIntel,2.7,North Carolina,Donald Trump,REP,48.8,1674,Voters,Online Ad,Recent
AtlasIntel,2.7,Pennsylvania,Kamala Harris,DEM,46.5,2048,Voters,Online Ad,Recent
AtlasIntel,2.7,Pennsylvania,Donald Trump,REP,49.8,2048,Voters,Online Ad,Recent
AtlasIntel,2.7,Pennsylvania,Kamala Harris,DEM,47.4,2048,Voters,Online Ad,Recent
AtlasIntel,2.7,Pennsylvania,Donald Trump,REP,49.9,2048,Voters,Online Ad,Recent
AtlasIntel,2.7,Wisconsin,Kamala Harris,DEM,48.9,932,Voters,Online Ad,Recent
AtlasIntel,2.7,Wisconsin,Donald Trump,REP,48.2,932,Voters,Online Ad,Recent
AtlasIntel,2.7,Wisconsin,Kamala Harris,DEM,49,932,Voters,Online Ad,Recent
AtlasIntel,2.7,Wisconsin,Donald Trump,REP,48.4,932,Voters,Online Ad,Recent
TIPP,1.8,Georgia,Kamala Harris,DEM,48.8,1029,Voters,Online Panel,Recent
TIPP,1.8,Georgia,Donald Trump,REP,45.8,1029,Voters,Online Panel,Recent
TIPP,1.8,Georgia,Kamala Harris,DEM,48.3,813,Voters,Online Panel,Recent
TIPP,1.8,Georgia,Donald Trump,REP,48.5,813,Voters,Online Panel,Recent
TIPP,1.8,Georgia,Kamala Harris,DEM,48.3,1029,Voters,Online Panel,Recent
TIPP,1.8,Georgia,Donald Trump,REP,44.8,1029,Voters,Online Panel,Recent
TIPP,1.8,Georgia,Kamala Harris,DEM,49,813,Voters,Online Panel,Recent
TIPP,1.8,Georgia,Donald Trump,REP,48.5,813,Voters,Online Panel,Recent
Mason-Dixon,2.6,South Dakota,Kamala Harris,DEM,33,500,Voters,Live Phone,Recent
Mason-Dixon,2.6,South Dakota,Donald Trump,REP,59,500,Voters,Live Phone,Recent
YouGov,3,Arizona,Kamala Harris,DEM,48,1435,Voters,Online Panel,Recent
YouGov,3,Arizona,Donald Trump,REP,51,1435,Voters,Online Panel,Recent
RMG Research,2.3,Wisconsin,Kamala Harris,DEM,49,787,Voters,Online Panel,Recent
RMG Research,2.3,Wisconsin,Donald Trump,REP,50,787,Voters,Online Panel,Recent
RMG Research,2.3,Michigan,Kamala Harris,DEM,49,789,Voters,Online Panel,Recent
RMG Research,2.3,Michigan,Donald Trump,REP,49,789,Voters,Online Panel,Recent
U. Georgia SPIA,2.2,Georgia,Kamala Harris,DEM,43.4,1000,Voters,Live Phone,Recent
U. Georgia SPIA,2.2,Georgia,Donald Trump,REP,47,1000,Voters,Live Phone,Recent
InsiderAdvantage,2,Georgia,Kamala Harris,DEM,47,800,Voters,NA,Recent
InsiderAdvantage,2,Georgia,Donald Trump,REP,49,800,Voters,NA,Recent
Fabrizio/Impact,1.7,Nevada,Kamala Harris,DEM,46,600,Voters,Live Phone/Text-to-Web,Recent
Fabrizio/Impact,1.7,Nevada,Donald Trump,REP,47,600,Voters,Live Phone/Text-to-Web,Recent
Fabrizio/Impact,1.7,Nevada,Kamala Harris,DEM,47,600,Voters,Live Phone/Text-to-Web,Recent
Fabrizio/Impact,1.7,Nevada,Donald Trump,REP,49,600,Voters,Live Phone/Text-to-Web,Recent
PPIC,2.5,California,Kamala Harris,DEM,59,1137,Voters,Probability Panel,Recent
PPIC,2.5,California,Donald Trump,REP,33,1137,Voters,Probability Panel,Recent
Morning Consult,1.9,Arizona,Kamala Harris,DEM,49,653,Voters,Online Panel,Recent
Morning Consult,1.9,Arizona,Donald Trump,REP,48,653,Voters,Online Panel,Recent
Morning Consult,1.9,Georgia,Kamala Harris,DEM,48,1002,Voters,Online Panel,Recent
Morning Consult,1.9,Georgia,Donald Trump,REP,49,1002,Voters,Online Panel,Recent
Morning Consult,1.9,Maryland,Kamala Harris,DEM,64,490,Voters,Online Panel,Recent
Morning Consult,1.9,Maryland,Donald Trump,REP,31,490,Voters,Online Panel,Recent
Morning Consult,1.9,Michigan,Kamala Harris,DEM,49,1065,Voters,Online Panel,Recent
Morning Consult,1.9,Michigan,Donald Trump,REP,47,1065,Voters,Online Panel,Recent
Morning Consult,1.9,Nevada,Kamala Harris,DEM,49,496,Voters,Online Panel,Recent
Morning Consult,1.9,Nevada,Donald Trump,REP,45,496,Voters,Online Panel,Recent
Morning Consult,1.9,North Carolina,Kamala Harris,DEM,48,1072,Voters,Online Panel,Recent
Morning Consult,1.9,North Carolina,Donald Trump,REP,49,1072,Voters,Online Panel,Recent
Morning Consult,1.9,Ohio,Kamala Harris,DEM,45,1243,Voters,Online Panel,Recent
Morning Consult,1.9,Ohio,Donald Trump,REP,52,1243,Voters,Online Panel,Recent
Morning Consult,1.9,Pennsylvania,Kamala Harris,DEM,49,1395,Voters,Online Panel,Recent
Morning Consult,1.9,Pennsylvania,Donald Trump,REP,48,1395,Voters,Online Panel,Recent
Morning Consult,1.9,Texas,Kamala Harris,DEM,46,2048,Voters,Online Panel,Recent
Morning Consult,1.9,Texas,Donald Trump,REP,50,2048,Voters,Online Panel,Recent
Morning Consult,1.9,Wisconsin,Kamala Harris,DEM,47,527,Voters,Online Panel,Recent
Morning Consult,1.9,Wisconsin,Donald Trump,REP,48,527,Voters,Online Panel,Recent
Washington Post/George Mason University,2.7,Arizona,Kamala Harris,DEM,44,580,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Arizona,Donald Trump,REP,50,580,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Arizona,Kamala Harris,DEM,46,580,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Arizona,Donald Trump,REP,49,580,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Georgia,Kamala Harris,DEM,50,730,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Georgia,Donald Trump,REP,44,730,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Georgia,Kamala Harris,DEM,51,730,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Georgia,Donald Trump,REP,47,730,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Michigan,Kamala Harris,DEM,46,687,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Michigan,Donald Trump,REP,47,687,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Michigan,Kamala Harris,DEM,49,687,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Michigan,Donald Trump,REP,47,687,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Nevada,Kamala Harris,DEM,47,652,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Nevada,Donald Trump,REP,44,652,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Nevada,Kamala Harris,DEM,48,652,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,Nevada,Donald Trump,REP,48,652,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
Washington Post/George Mason University,2.7,North Carolina,Kamala Harris,DEM,45,965,Voters,Live Phone/Text-to-Web/Email/Mail-to-Web,Recent
