pollster,numeric_grade,state,candidate_name,party,pct,sample_size,population,methodology,national_poll,recent_poll
Morning Consult,1.9,Georgia,Donald Trump,REP,47,914,Voters,Online Panel,0,Recent
Morning Consult,1.9,Georgia,Kamala Harris,DEM,48,914,Voters,Online Panel,0,Recent
Morning Consult,1.9,Georgia,Donald Trump,REP,49,914,Voters,Online Panel,0,Recent
Morning Consult,1.9,Georgia,Kamala Harris,DEM,48,855,Voters,Online Panel,0,Recent
Morning Consult,1.9,Georgia,Donald Trump,REP,49,855,Voters,Online Panel,0,Recent
Morning Consult,1.9,Georgia,Kamala Harris,DEM,48,855,Voters,Online Panel,0,Recent
Morning Consult,1.9,Georgia,Donald Trump,REP,50,855,Voters,Online Panel,0,Recent
Morning Consult,1.9,Michigan,Kamala Harris,DEM,47,756,Voters,Online Panel,0,Recent
Morning Consult,1.9,Michigan,Donald Trump,REP,45,756,Voters,Online Panel,0,Recent
Morning Consult,1.9,Michigan,Kamala Harris,DEM,48,756,Voters,Online Panel,0,Recent
Morning Consult,1.9,Michigan,Donald Trump,REP,46,756,Voters,Online Panel,0,Recent
Morning Consult,1.9,Michigan,Kamala Harris,DEM,49,705,Voters,Online Panel,0,Recent
Morning Consult,1.9,Michigan,Donald Trump,REP,46,705,Voters,Online Panel,0,Recent
Morning Consult,1.9,Michigan,Kamala Harris,DEM,50,705,Voters,Online Panel,0,Recent
Morning Consult,1.9,Michigan,Donald Trump,REP,46,705,Voters,Online Panel,0,Recent
Morning Consult,1.9,Nevada,Kamala Harris,DEM,48,449,Voters,Online Panel,0,Recent
Morning Consult,1.9,Nevada,Donald Trump,REP,47,449,Voters,Online Panel,0,Recent
Morning Consult,1.9,Nevada,Kamala Harris,DEM,49,449,Voters,Online Panel,0,Recent
Morning Consult,1.9,Nevada,Donald Trump,REP,48,449,Voters,Online Panel,0,Recent
Morning Consult,1.9,Nevada,Kamala Harris,DEM,48,420,Voters,Online Panel,0,Recent
Morning Consult,1.9,Nevada,Donald Trump,REP,48,420,Voters,Online Panel,0,Recent
Morning Consult,1.9,Nevada,Kamala Harris,DEM,49,420,Voters,Online Panel,0,Recent
Morning Consult,1.9,Nevada,Donald Trump,REP,48,420,Voters,Online Panel,0,Recent
Morning Consult,1.9,North Carolina,Kamala Harris,DEM,46,755,Voters,Online Panel,0,Recent
Morning Consult,1.9,North Carolina,Donald Trump,REP,49,755,Voters,Online Panel,0,Recent
Morning Consult,1.9,North Carolina,Kamala Harris,DEM,47,755,Voters,Online Panel,0,Recent
Morning Consult,1.9,North Carolina,Donald Trump,REP,50,755,Voters,Online Panel,0,Recent
Morning Consult,1.9,North Carolina,Kamala Harris,DEM,48,702,Voters,Online Panel,0,Recent
Morning Consult,1.9,North Carolina,Donald Trump,REP,49,702,Voters,Online Panel,0,Recent
Morning Consult,1.9,North Carolina,Kamala Harris,DEM,48,702,Voters,Online Panel,0,Recent
Morning Consult,1.9,North Carolina,Donald Trump,REP,50,702,Voters,Online Panel,0,Recent
Morning Consult,1.9,Pennsylvania,Kamala Harris,DEM,48,866,Voters,Online Panel,0,Recent
Morning Consult,1.9,Pennsylvania,Donald Trump,REP,48,866,Voters,Online Panel,0,Recent
Morning Consult,1.9,Pennsylvania,Kamala Harris,DEM,48,866,Voters,Online Panel,0,Recent
Morning Consult,1.9,Pennsylvania,Donald Trump,REP,48,866,Voters,Online Panel,0,Recent
Morning Consult,1.9,Pennsylvania,Kamala Harris,DEM,50,812,Voters,Online Panel,0,Recent
Morning Consult,1.9,Pennsylvania,Donald Trump,REP,48,812,Voters,Online Panel,0,Recent
Morning Consult,1.9,Pennsylvania,Kamala Harris,DEM,50,812,Voters,Online Panel,0,Recent
Morning Consult,1.9,Pennsylvania,Donald Trump,REP,48,812,Voters,Online Panel,0,Recent
Morning Consult,1.9,Wisconsin,Kamala Harris,DEM,47,635,Voters,Online Panel,0,Recent
Morning Consult,1.9,Wisconsin,Donald Trump,REP,47,635,Voters,Online Panel,0,Recent
Morning Consult,1.9,Wisconsin,Kamala Harris,DEM,48,635,Voters,Online Panel,0,Recent
Morning Consult,1.9,Wisconsin,Donald Trump,REP,48,635,Voters,Online Panel,0,Recent
Morning Consult,1.9,Wisconsin,Kamala Harris,DEM,47,624,Voters,Online Panel,0,Recent
Morning Consult,1.9,Wisconsin,Donald Trump,REP,47,624,Voters,Online Panel,0,Recent
Morning Consult,1.9,Wisconsin,Kamala Harris,DEM,48,624,Voters,Online Panel,0,Recent
Morning Consult,1.9,Wisconsin,Donald Trump,REP,48,624,Voters,Online Panel,0,Recent
Cherry Communications,1,Florida,Kamala Harris,DEM,45,614,Voters,Live Phone,0,Recent
Cherry Communications,1,Florida,Donald Trump,REP,51,614,Voters,Live Phone,0,Recent
Franklin and Marshall College,2.4,Pennsylvania,Kamala Harris,DEM,49,794,Voters,Mail-to-Web/Mail-to-Phone,0,Recent
Franklin and Marshall College,2.4,Pennsylvania,Donald Trump,REP,45,794,Voters,Mail-to-Web/Mail-to-Phone,0,Recent
Franklin and Marshall College,2.4,Pennsylvania,Kamala Harris,DEM,49,583,Voters,Mail-to-Web/Mail-to-Phone,0,Recent
Franklin and Marshall College,2.4,Pennsylvania,Donald Trump,REP,50,583,Voters,Mail-to-Web/Mail-to-Phone,0,Recent
Franklin and Marshall College,2.4,Pennsylvania,Kamala Harris,DEM,48,794,Voters,Mail-to-Web/Mail-to-Phone,0,Recent
Franklin and Marshall College,2.4,Pennsylvania,Donald Trump,REP,44,794,Voters,Mail-to-Web/Mail-to-Phone,0,Recent
TIPP,1.8,NA,Kamala Harris,DEM,47,1254,Voters,Online Panel,1,Recent
TIPP,1.8,NA,Donald Trump,REP,49,1254,Voters,Online Panel,1,Recent
Trafalgar Group,0.7,Pennsylvania,Kamala Harris,DEM,43.3,1084,Voters,IVR/Live Phone/Text/Online Panel/Email,0,Recent
Trafalgar Group,0.7,Pennsylvania,Donald Trump,REP,46.3,1084,Voters,IVR/Live Phone/Text/Online Panel/Email,0,Recent
Morning Consult,1.9,NA,Kamala Harris,DEM,50,8170,Voters,Online Panel,1,Recent
Morning Consult,1.9,NA,Donald Trump,REP,46,8170,Voters,Online Panel,1,Recent
Hart/POS,2.6,NA,Kamala Harris,DEM,46,1000,Voters,Live Phone,1,Recent
Hart/POS,2.6,NA,Donald Trump,REP,48,1000,Voters,Live Phone,1,Recent
HarrisX,1.5,Utah,Kamala Harris,DEM,31,813,Voters,Online Panel,0,Recent
HarrisX,1.5,Utah,Donald Trump,REP,63,813,Voters,Online Panel,0,Recent
TIPP,1.8,NA,Kamala Harris,DEM,48,1223,Voters,Online Panel,1,Recent
TIPP,1.8,NA,Donald Trump,REP,47,1223,Voters,Online Panel,1,Recent
Redfield & Wilton Strategies,1.8,Arizona,Kamala Harris,DEM,46,691,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Arizona,Donald Trump,REP,49,691,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Florida,Kamala Harris,DEM,45,1275,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Florida,Donald Trump,REP,49,1275,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Michigan,Kamala Harris,DEM,47,1008,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Michigan,Donald Trump,REP,47,1008,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Nevada,Kamala Harris,DEM,46,529,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Nevada,Donald Trump,REP,47,529,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Wisconsin,Kamala Harris,DEM,47,622,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Wisconsin,Donald Trump,REP,46,622,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,North Carolina,Kamala Harris,DEM,45,843,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,North Carolina,Donald Trump,REP,48,843,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Georgia,Kamala Harris,DEM,47,1019,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Georgia,Donald Trump,REP,48,1019,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Pennsylvania,Kamala Harris,DEM,48,1256,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Pennsylvania,Donald Trump,REP,48,1256,Voters,Online Panel,0,Recent
Morning Consult,1.9,NA,Kamala Harris,DEM,50,8204,Voters,Online Panel,1,Recent
Morning Consult,1.9,NA,Donald Trump,REP,46,8204,Voters,Online Panel,1,Recent
WPAi,1.7,Oklahoma,Kamala Harris,DEM,29,502,Voters,NA,0,Recent
WPAi,1.7,Oklahoma,Donald Trump,REP,65,502,Voters,NA,0,Recent
Suffolk,2.9,NA,Kamala Harris,DEM,45.3,1000,Voters,Live Phone,1,Recent
Suffolk,2.9,NA,Donald Trump,REP,44.4,1000,Voters,Live Phone,1,Recent
Suffolk,2.9,NA,Kamala Harris,DEM,49.7,1000,Voters,Live Phone,1,Recent
Suffolk,2.9,NA,Donald Trump,REP,48.7,1000,Voters,Live Phone,1,Recent
Research & Polling,2.1,New Mexico,Kamala Harris,DEM,50,1024,Voters,Live Phone,0,Recent
Research & Polling,2.1,New Mexico,Donald Trump,REP,41,1024,Voters,Live Phone,0,Recent
U. North Florida,2.8,Florida,Kamala Harris,DEM,43,977,Voters,Live Phone,0,Recent
U. North Florida,2.8,Florida,Donald Trump,REP,53,977,Voters,Live Phone,0,Recent
PPP,1.4,Washington,Kamala Harris,DEM,55,571,Voters,IVR/Text,0,Recent
PPP,1.4,Washington,Donald Trump,REP,40,571,Voters,IVR/Text,0,Recent
PPP,1.4,Oregon,Kamala Harris,DEM,53,716,Voters,IVR/Text,0,Recent
PPP,1.4,Oregon,Donald Trump,REP,41,716,Voters,IVR/Text,0,Recent
TIPP,1.8,NA,Kamala Harris,DEM,49,1257,Voters,Online Panel,1,Recent
TIPP,1.8,NA,Donald Trump,REP,47,1257,Voters,Online Panel,1,Recent
Morning Consult,1.9,NA,Kamala Harris,DEM,50,8484,Voters,Online Panel,1,Recent
Morning Consult,1.9,NA,Donald Trump,REP,46,8484,Voters,Online Panel,1,Recent
RMG Research,2.3,Florida,Kamala Harris,DEM,47,788,Voters,Online Panel,0,Recent
