pollster,numeric_grade,state,candidate_name,pct,sample_size,population,methodology,start_date,end_date,national_poll,recency
Ipsos,2.8,NA,Donald Trump,39,4129,a,Probability Panel,2024-10-16,2024-10-21,1,15
Ipsos,2.8,NA,Donald Trump,43,3481,rv,Probability Panel,2024-10-16,2024-10-21,1,15
Ipsos,2.8,NA,Donald Trump,45,3307,lv,Probability Panel,2024-10-16,2024-10-21,1,15
InsiderAdvantage,2,Nevada,Donald Trump,47.9,800,lv,NA,2024-10-19,2024-10-20,0,16
InsiderAdvantage,2,Arizona,Donald Trump,49.5,800,lv,NA,2024-10-19,2024-10-20,0,16
InsiderAdvantage,2,North Carolina,Donald Trump,48.7,800,lv,NA,2024-10-19,2024-10-20,0,16
Emerson,2.9,Florida,Donald Trump,53.6,860,lv,IVR/Online Panel/Text-to-Web,2024-10-18,2024-10-20,0,16
SurveyUSA/High Point University,2.8,North Carolina,Donald Trump,46,1164,rv,Online Panel,2024-10-17,2024-10-20,0,16
Franklin and Marshall College,2.4,Pennsylvania,Donald Trump,45,794,rv,Mail-to-Web/Mail-to-Phone,2024-10-09,2024-10-20,0,16
Franklin and Marshall College,2.4,Pennsylvania,Donald Trump,50,583,lv,Mail-to-Web/Mail-to-Phone,2024-10-09,2024-10-20,0,16
Franklin and Marshall College,2.4,Pennsylvania,Donald Trump,44,794,rv,Mail-to-Web/Mail-to-Phone,2024-10-09,2024-10-20,0,16
Hart/POS,2.6,NA,Donald Trump,48,1000,rv,Live Phone,2024-10-15,2024-10-19,1,17
Suffolk,2.9,NA,Donald Trump,44.4,1000,lv,Live Phone,2024-10-14,2024-10-18,1,18
Suffolk,2.9,NA,Donald Trump,48.7,1000,lv,Live Phone,2024-10-14,2024-10-18,1,18
Research & Polling,2.1,New Mexico,Donald Trump,41,1024,lv,Live Phone,2024-10-10,2024-10-18,0,18
U. North Florida,2.8,Florida,Donald Trump,53,977,lv,Live Phone,2024-10-07,2024-10-18,0,18
RMG Research,2.3,Florida,Donald Trump,52,788,lv,Online Panel,2024-10-14,2024-10-17,0,19
Siena,2.7,New York,Donald Trump,37,872,lv,Live Phone,2024-10-13,2024-10-17,0,19
Siena,2.7,New York,Donald Trump,39,872,lv,Live Phone,2024-10-13,2024-10-17,0,19
AtlasIntel,2.7,NA,Donald Trump,50.7,4180,lv,Online Ad,2024-10-12,2024-10-17,1,19
AtlasIntel,2.7,NA,Donald Trump,50.8,4180,lv,Online Ad,2024-10-12,2024-10-17,1,19
AtlasIntel,2.7,Arizona,Donald Trump,49.2,1440,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Arizona,Donald Trump,49.2,1440,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Donald Trump,49.5,1411,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Donald Trump,50.1,1411,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Donald Trump,49.6,1529,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Donald Trump,50.2,1529,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Donald Trump,48.4,1171,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Donald Trump,48.3,1171,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Donald Trump,48.8,1674,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Donald Trump,48.8,1674,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Donald Trump,49.8,2048,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Donald Trump,49.9,2048,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Donald Trump,48.2,932,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Donald Trump,48.4,932,lv,Online Ad,2024-10-12,2024-10-17,0,19
Emerson,2.9,NA,Donald Trump,49.2,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-14,2024-10-16,1,20
RMG Research,2.3,NA,Donald Trump,49,2950,lv,Online Panel,2024-10-14,2024-10-16,1,20
Mason-Dixon,2.6,South Dakota,Donald Trump,59,500,rv,Live Phone,2024-10-12,2024-10-16,0,20
YouGov,3,Arizona,Donald Trump,51,1435,lv,Online Panel,2024-10-11,2024-10-16,0,20
UMass Amherst/YouGov,2.4,NA,Donald Trump,46,1412,a,Online Panel,2024-10-11,2024-10-16,1,20
RMG Research,2.3,Wisconsin,Donald Trump,50,787,lv,Online Panel,2024-10-10,2024-10-16,0,20
RMG Research,2.3,Michigan,Donald Trump,49,789,lv,Online Panel,2024-10-10,2024-10-16,0,20
U. Georgia SPIA,2.2,Georgia,Donald Trump,47,1000,lv,Live Phone,2024-10-07,2024-10-16,0,20
InsiderAdvantage,2,Georgia,Donald Trump,49,800,rv,NA,2024-10-14,2024-10-15,0,21
YouGov,3,NA,Donald Trump,45,1457,rv,Online Panel,2024-10-12,2024-10-15,1,21
YouGov,3,NA,Donald Trump,45,1314,lv,Online Panel,2024-10-12,2024-10-15,1,21
PPIC,2.5,California,Donald Trump,33,1137,lv,Probability Panel,2024-10-07,2024-10-15,0,21
Washington Post/George Mason University,2.7,Arizona,Donald Trump,50,580,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Arizona,Donald Trump,49,580,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Georgia,Donald Trump,44,730,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Georgia,Donald Trump,47,730,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Michigan,Donald Trump,47,687,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Michigan,Donald Trump,47,687,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Nevada,Donald Trump,44,652,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Nevada,Donald Trump,48,652,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,North Carolina,Donald Trump,49,965,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,North Carolina,Donald Trump,50,965,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Pennsylvania,Donald Trump,46,707,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Pennsylvania,Donald Trump,47,707,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Wisconsin,Donald Trump,46,695,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Wisconsin,Donald Trump,47,695,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Mitchell,2.4,Michigan,Donald Trump,47,589,lv,NA,2024-10-14,2024-10-14,0,22
Mitchell,2.4,Michigan,Donald Trump,48.5,589,lv,NA,2024-10-14,2024-10-14,0,22
Emerson,2.9,California,Donald Trump,36.6,1000,lv,IVR/Online Panel,2024-10-12,2024-10-14,0,22
Cygnal,2.1,North Carolina,Donald Trump,47.2,600,lv,Live Phone/Text-to-Web,2024-10-12,2024-10-14,0,22
Beacon/Shaw,2.8,NA,Donald Trump,50,1110,rv,Live Phone/Text-to-Web,2024-10-11,2024-10-14,1,22
Beacon/Shaw,2.8,NA,Donald Trump,50,870,lv,Live Phone/Text-to-Web,2024-10-11,2024-10-14,1,22
Quinnipiac,2.8,Georgia,Donald Trump,52,1328,lv,Live Phone,2024-10-10,2024-10-14,0,22
Quinnipiac,2.8,Georgia,Donald Trump,52,1328,lv,Live Phone,2024-10-10,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Donald Trump,47,1031,lv,Live Phone,2024-10-10,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Donald Trump,47,1031,lv,Live Phone,2024-10-10,2024-10-14,0,22
SurveyUSA,2.8,Washington,Donald Trump,35,703,lv,Online Panel,2024-10-09,2024-10-14,0,22
East Carolina University,2.6,Georgia,Donald Trump,48.9,701,lv,IVR/Text-to-Web,2024-10-09,2024-10-14,0,22
Fairleigh Dickinson,2.6,NA,Donald Trump,47,806,rv,Live Phone/Text-to-Web,2024-10-08,2024-10-14,1,22
Ipsos,2.8,NA,Donald Trump,42,807,rv,Probability Panel,2024-10-11,2024-10-13,1,23
Ipsos,2.8,NA,Donald Trump,44,769,lv,Probability Panel,2024-10-11,2024-10-13,1,23
Ipsos,2.8,NA,Donald Trump,37,938,a,Probability Panel,2024-10-11,2024-10-13,1,23
YouGov,3,NA,Donald Trump,48,2712,lv,Online Panel,2024-10-08,2024-10-11,1,25
Marist,2.9,NA,Donald Trump,47,1401,lv,Online Panel/Text-to-Web,2024-10-08,2024-10-10,1,26
Marist,2.9,NA,Donald Trump,48,1708,rv,Online Panel/Text-to-Web,2024-10-08,2024-10-10,1,26
RMG Research,2.3,NA,Donald Trump,47,2945,lv,Online Panel,2024-10-07,2024-10-10,1,26
Siena/NYT,3,Pennsylvania,Donald Trump,47,857,rv,Live Phone,2024-10-07,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Donald Trump,45,857,rv,Live Phone,2024-10-07,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Donald Trump,47,857,lv,Live Phone,2024-10-07,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Donald Trump,45,857,lv,Live Phone,2024-10-07,2024-10-10,0,26
Siena/NYT,3,Arizona,Donald Trump,51,808,lv,Live Phone,2024-10-07,2024-10-10,0,26
Siena/NYT,3,Arizona,Donald Trump,50,808,lv,Live Phone,2024-10-07,2024-10-10,0,26
Siena/NYT,3,Arizona,Donald Trump,51,808,rv,Live Phone,2024-10-07,2024-10-10,0,26
Siena/NYT,3,Arizona,Donald Trump,49,808,rv,Live Phone,2024-10-07,2024-10-10,0,26
RMG Research,2.3,Georgia,Donald Trump,50,731,lv,Online Panel,2024-10-07,2024-10-10,0,26
UMass Amherst/YouGov,2.4,Massachusetts,Donald Trump,30,700,a,Online Panel,2024-10-03,2024-10-10,0,26
University of Massachusetts Lowell/YouGov,2.9,New Hampshire,Donald Trump,41,600,lv,Online Panel,2024-10-02,2024-10-10,0,26
YouGov,3,Texas,Donald Trump,51,1091,lv,Online Panel,2024-10-02,2024-10-10,0,26
Marquette Law School,3,NA,Donald Trump,50,780,rv,Probability Panel,2024-10-01,2024-10-10,1,26
Marquette Law School,3,NA,Donald Trump,39,780,rv,Probability Panel,2024-10-01,2024-10-10,1,26
Marquette Law School,3,NA,Donald Trump,50,652,lv,Probability Panel,2024-10-01,2024-10-10,1,26
Marquette Law School,3,NA,Donald Trump,41,652,lv,Probability Panel,2024-10-01,2024-10-10,1,26
U. Houston,2.2,Texas,Donald Trump,51,1329,lv,Online Panel,2024-09-26,2024-10-10,0,26
InsiderAdvantage,2,Michigan,Donald Trump,48,800,lv,Text,2024-10-08,2024-10-09,0,27
InsiderAdvantage,2,Wisconsin,Donald Trump,48,800,lv,Text,2024-10-08,2024-10-09,0,27
University of Massachusetts Lowell/YouGov,2.9,Pennsylvania,Donald Trump,45,800,lv,Online Panel,2024-10-02,2024-10-09,0,27
InsiderAdvantage,2,Pennsylvania,Donald Trump,49,800,lv,Text,2024-10-07,2024-10-08,0,28
Emerson,2.9,Arizona,Donald Trump,50.5,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,0,28
Emerson,2.9,Georgia,Donald Trump,49.7,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,0,28
Emerson,2.9,Michigan,Donald Trump,49.6,950,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,0,28
Emerson,2.9,Nevada,Donald Trump,48.1,900,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,0,28
Emerson,2.9,North Carolina,Donald Trump,49.9,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,0,28
Emerson,2.9,Pennsylvania,Donald Trump,49.7,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,0,28
Emerson,2.9,Wisconsin,Donald Trump,49.9,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,0,28
Siena/NYT,3,Montana,Donald Trump,57,656,rv,Live Phone,2024-10-05,2024-10-08,0,28
Siena/NYT,3,Montana,Donald Trump,56,656,rv,Live Phone,2024-10-05,2024-10-08,0,28
Siena/NYT,3,Montana,Donald Trump,57,656,lv,Live Phone,2024-10-05,2024-10-08,0,28
Siena/NYT,3,Montana,Donald Trump,56,656,lv,Live Phone,2024-10-05,2024-10-08,0,28
Hart/POS,2.6,NA,Donald Trump,47,1000,rv,Live Phone,2024-10-04,2024-10-08,1,28
Hart/POS,2.6,NA,Donald Trump,48,1000,rv,Live Phone,2024-10-04,2024-10-08,1,28
Ipsos,2.8,NA,Donald Trump,48,2631,a,Probability Panel,2024-10-04,2024-10-08,1,28
Ipsos,2.8,NA,Donald Trump,47,2226,rv,Probability Panel,2024-10-04,2024-10-08,1,28
Ipsos,2.8,NA,Donald Trump,48,1714,lv,Probability Panel,2024-10-04,2024-10-08,1,28
Ipsos,2.8,NA,Donald Trump,49,2631,a,Probability Panel,2024-10-04,2024-10-08,1,28
Ipsos,2.8,NA,Donald Trump,49,2226,rv,Probability Panel,2024-10-04,2024-10-08,1,28
Ipsos,2.8,NA,Donald Trump,48,1714,lv,Probability Panel,2024-10-04,2024-10-08,1,28
YouGov,3,NA,Donald Trump,44,1414,rv,Online Panel,2024-10-06,2024-10-07,1,29
YouGov,3,NA,Donald Trump,45,1230,lv,Online Panel,2024-10-06,2024-10-07,1,29
Research Co.,2.4,Michigan,Donald Trump,48,450,lv,Online Panel,2024-10-05,2024-10-07,0,29
Research Co.,2.4,Pennsylvania,Donald Trump,49,450,lv,Online Panel,2024-10-05,2024-10-07,0,29
Research Co.,2.4,Wisconsin,Donald Trump,48,450,lv,Online Panel,2024-10-05,2024-10-07,0,29
Ipsos,2.8,NA,Donald Trump,38,1272,a,Probability Panel,2024-10-04,2024-10-07,1,29
Ipsos,2.8,NA,Donald Trump,43,1076,rv,Probability Panel,2024-10-04,2024-10-07,1,29
Ipsos,2.8,NA,Donald Trump,45,1076,lv,Probability Panel,2024-10-04,2024-10-07,1,29
Ipsos,2.8,NA,Donald Trump,47,1272,a,Probability Panel,2024-10-04,2024-10-07,1,29
Ipsos,2.8,NA,Donald Trump,48,1076,rv,Probability Panel,2024-10-04,2024-10-07,1,29
Ipsos,2.8,NA,Donald Trump,49,1076,lv,Probability Panel,2024-10-04,2024-10-07,1,29
Quinnipiac,2.8,Michigan,Donald Trump,50,1007,lv,Live Phone,2024-10-03,2024-10-07,0,29
Quinnipiac,2.8,Michigan,Donald Trump,51,1007,lv,Live Phone,2024-10-03,2024-10-07,0,29
Quinnipiac,2.8,Pennsylvania,Donald Trump,46,1412,lv,Live Phone,2024-10-03,2024-10-07,0,29
Quinnipiac,2.8,Pennsylvania,Donald Trump,47,1412,lv,Live Phone,2024-10-03,2024-10-07,0,29
Quinnipiac,2.8,Wisconsin,Donald Trump,48,1073,lv,Live Phone,2024-10-03,2024-10-07,0,29
Quinnipiac,2.8,Wisconsin,Donald Trump,49,1073,lv,Live Phone,2024-10-03,2024-10-07,0,29
Marist,2.9,Florida,Donald Trump,51,1257,lv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,0,29
Marist,2.9,Florida,Donald Trump,51,1410,rv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,0,29
Marist,2.9,Texas,Donald Trump,52,1365,rv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,0,29
Marist,2.9,Texas,Donald Trump,53,1186,lv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,0,29
Marist,2.9,Ohio,Donald Trump,52,1511,rv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,0,29
Marist,2.9,Ohio,Donald Trump,52,1327,lv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,0,29
The Washington Post,3,Ohio,Donald Trump,51,1002,lv,Live Phone/Text-to-Web,2024-10-03,2024-10-07,0,29
The Washington Post,3,Ohio,Donald Trump,51,1002,rv,Live Phone/Text-to-Web,2024-10-03,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Donald Trump,54,539,lv,Online Panel/Text-to-Web,2024-10-02,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Donald Trump,54,539,lv,Online Panel/Text-to-Web,2024-10-02,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Donald Trump,52,600,rv,Online Panel/Text-to-Web,2024-10-02,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Donald Trump,51,600,rv,Online Panel/Text-to-Web,2024-10-02,2024-10-07,0,29
Research Co.,2.4,NA,Donald Trump,45,1001,lv,Online Panel,2024-10-04,2024-10-06,1,30
Pew,2.5,NA,Donald Trump,47,4025,rv,Probability Panel,2024-09-30,2024-10-06,1,30
Pew,2.5,NA,Donald Trump,49,4025,rv,Probability Panel,2024-09-30,2024-10-06,1,30
Siena/NYT,3,NA,Donald Trump,46,3385,lv,Live Phone,2024-09-29,2024-10-06,1,30
Siena/NYT,3,NA,Donald Trump,44,3385,lv,Live Phone,2024-09-29,2024-10-06,1,30
Siena/NYT,3,Florida,Donald Trump,55,622,lv,Live Phone,2024-09-29,2024-10-06,0,30
Siena/NYT,3,Florida,Donald Trump,53,622,lv,Live Phone,2024-09-29,2024-10-06,0,30
Siena/NYT,3,Florida,Donald Trump,54,622,rv,Live Phone,2024-09-29,2024-10-06,0,30
Siena/NYT,3,Florida,Donald Trump,53,622,rv,Live Phone,2024-09-29,2024-10-06,0,30
Suffolk,2.9,Massachusetts,Donald Trump,32.2,500,lv,Live Phone,2024-10-01,2024-10-05,0,31
YouGov,3,NA,Donald Trump,45,1150,rv,Online Panel,2024-10-02,2024-10-04,1,32
YouGov,3,NA,Donald Trump,47,1032,lv,Online Panel,2024-10-02,2024-10-04,1,32
YouGov,3,NA,Donald Trump,46,1151,rv,Online Panel,2024-10-02,2024-10-04,1,32
YouGov,3,NA,Donald Trump,47,1033,lv,Online Panel,2024-10-02,2024-10-04,1,32
Noble Predictive Insights,2.4,NA,Donald Trump,46,2290,lv,Online Panel,2024-10-02,2024-10-04,1,32
Noble Predictive Insights,2.4,NA,Donald Trump,47,2290,lv,Online Panel,2024-10-02,2024-10-04,1,32
Noble Predictive Insights,2.4,NA,Donald Trump,46,2560,rv,Online Panel,2024-10-02,2024-10-04,1,32
Noble Predictive Insights,2.4,NA,Donald Trump,45,2560,rv,Online Panel,2024-10-02,2024-10-04,1,32
Mason-Dixon,2.6,Florida,Donald Trump,49,625,lv,Live Phone,2024-10-01,2024-10-04,0,32
Siena/NYT,3,Texas,Donald Trump,50,617,lv,Live Phone,2024-09-29,2024-10-04,0,32
Siena/NYT,3,Texas,Donald Trump,49,617,lv,Live Phone,2024-09-29,2024-10-04,0,32
Siena/NYT,3,Texas,Donald Trump,50,617,rv,Live Phone,2024-09-29,2024-10-04,0,32
Siena/NYT,3,Texas,Donald Trump,48,617,rv,Live Phone,2024-09-29,2024-10-04,0,32
Christopher Newport U.,2.8,Virginia,Donald Trump,41,800,lv,Live Phone,2024-09-28,2024-10-04,0,32
Data for Progress,2.6,NA,Donald Trump,46,1211,lv,Online Panel,2024-10-02,2024-10-03,1,33
Cygnal,2.1,NA,Donald Trump,44.5,1500,lv,NA,2024-10-02,2024-10-03,1,33
Cygnal,2.1,NA,Donald Trump,47,1500,lv,NA,2024-10-02,2024-10-03,1,33
RMG Research,2.3,NA,Donald Trump,49,2965,lv,Online Panel,2024-09-30,2024-10-03,1,33
RMG Research,2.3,Nevada,Donald Trump,49,782,lv,Online Panel,2024-09-30,2024-10-03,0,33
St. Anselm,2.4,New Hampshire,Donald Trump,44,2104,lv,Online Panel,2024-10-01,2024-10-02,0,34
RMG Research,2.3,Arizona,Donald Trump,50,783,lv,Online Panel,2024-09-30,2024-10-02,0,34
YouGov/Center for Working Class Politics,3,Pennsylvania,Donald Trump,44.7,1000,rv,Online Panel,2024-09-24,2024-10-02,0,34
YouGov,3,NA,Donald Trump,45,1463,rv,Online Panel,2024-09-29,2024-10-01,1,35
YouGov,3,NA,Donald Trump,46,1261,lv,Online Panel,2024-09-29,2024-10-01,1,35
Emerson,2.9,NA,Donald Trump,48.6,1000,lv,IVR/Online Panel/Text-to-Web,2024-09-29,2024-10-01,1,35
Marist,2.9,NA,Donald Trump,48,1294,lv,Live Phone/Online Panel/Text-to-Web,2024-09-27,2024-10-01,1,35
Marist,2.9,NA,Donald Trump,47,1514,rv,Live Phone/Online Panel/Text-to-Web,2024-09-27,2024-10-01,1,35
UC Berkeley,2.5,California,Donald Trump,35,3045,lv,Email,2024-09-25,2024-10-01,0,35
Susquehanna,2.3,NA,Donald Trump,44,1001,lv,NA,2024-09-23,2024-10-01,1,35
Mitchell,2.4,Michigan,Donald Trump,49,709,lv,Text-to-Web,2024-09-30,2024-09-30,0,36
Mitchell,2.4,Michigan,Donald Trump,47,709,lv,Text-to-Web,2024-09-30,2024-09-30,0,36
InsiderAdvantage,2,Arizona,Donald Trump,49.1,800,lv,Text,2024-09-29,2024-09-30,0,36
InsiderAdvantage,2,Nevada,Donald Trump,49.3,800,lv,Text,2024-09-29,2024-09-30,0,36
InsiderAdvantage,2,North Carolina,Donald Trump,49.5,800,lv,Text,2024-09-29,2024-09-30,0,36
InsiderAdvantage,2,Georgia,Donald Trump,48.1,800,lv,Text,2024-09-29,2024-09-30,0,36
Leger,2,NA,Donald Trump,47,837,lv,NA,2024-09-27,2024-09-29,1,37
Leger,2,NA,Donald Trump,48,888,rv,NA,2024-09-27,2024-09-29,1,37
The Washington Post,3,North Carolina,Donald Trump,50,1001,lv,Live Phone/Text-to-Web,2024-09-25,2024-09-29,0,37
