pollster,numeric_grade,state,candidate_name,pct,sample_size,population,methodology,start_date,end_date,national_poll,recency
Marist,2.9,North Carolina,Kamala Harris,48,1226,lv,Live Phone/Online Panel/Text-to-Web,2024-10-17,2024-10-22,0,14
Marist,2.9,Arizona,Kamala Harris,49,1329,rv,Live Phone/Online Panel/Text-to-Web,2024-10-17,2024-10-22,0,14
Marist,2.9,Arizona,Kamala Harris,49,1193,lv,Live Phone/Online Panel/Text-to-Web,2024-10-17,2024-10-22,0,14
University of Maryland/Washington Post,2.5,Maryland,Kamala Harris,61,1000,lv,Live Phone/Text-to-Web,2024-10-17,2024-10-22,0,14
Emerson,2.9,Maryland,Kamala Harris,64,865,lv,Online Panel/Text-to-Web,2024-10-19,2024-10-21,0,15
YouGov,3,NA,Kamala Harris,47,1266,rv,Online Panel,2024-10-18,2024-10-21,1,15
YouGov,3,NA,Kamala Harris,48,1189,lv,Online Panel,2024-10-18,2024-10-21,1,15
Emerson,2.9,Texas,Kamala Harris,45.9,815,lv,IVR/Online Panel/Text-to-Web,2024-10-18,2024-10-21,0,15
Monmouth,2.9,NA,Kamala Harris,47,802,rv,Live Phone/Text-to-Web,2024-10-17,2024-10-21,1,15
Quinnipiac,2.8,Michigan,Kamala Harris,49,1136,lv,Live Phone,2024-10-17,2024-10-21,0,15
Quinnipiac,2.8,Michigan,Kamala Harris,50,1136,lv,Live Phone,2024-10-17,2024-10-21,0,15
Quinnipiac,2.8,Wisconsin,Kamala Harris,48,1108,lv,Live Phone,2024-10-17,2024-10-21,0,15
Quinnipiac,2.8,Wisconsin,Kamala Harris,48,1108,lv,Live Phone,2024-10-17,2024-10-21,0,15
Ipsos,2.8,NA,Kamala Harris,46,3481,rv,Probability Panel,2024-10-16,2024-10-21,1,15
Ipsos,2.8,NA,Kamala Harris,48,3307,lv,Probability Panel,2024-10-16,2024-10-21,1,15
Ipsos,2.8,NA,Kamala Harris,41,4129,a,Probability Panel,2024-10-16,2024-10-21,1,15
Ipsos,2.8,NA,Kamala Harris,41,4129,a,Probability Panel,2024-10-16,2024-10-21,1,15
Ipsos,2.8,NA,Kamala Harris,45,3481,rv,Probability Panel,2024-10-16,2024-10-21,1,15
Ipsos,2.8,NA,Kamala Harris,47,3307,lv,Probability Panel,2024-10-16,2024-10-21,1,15
InsiderAdvantage,2,Nevada,Kamala Harris,47.7,800,lv,NA,2024-10-19,2024-10-20,0,16
InsiderAdvantage,2,Arizona,Kamala Harris,47,800,lv,NA,2024-10-19,2024-10-20,0,16
InsiderAdvantage,2,North Carolina,Kamala Harris,46.8,800,lv,NA,2024-10-19,2024-10-20,0,16
Emerson,2.9,Florida,Kamala Harris,45.9,860,lv,IVR/Online Panel/Text-to-Web,2024-10-18,2024-10-20,0,16
SurveyUSA/High Point University,2.8,North Carolina,Kamala Harris,47,1164,rv,Online Panel,2024-10-17,2024-10-20,0,16
Franklin and Marshall College,2.4,Pennsylvania,Kamala Harris,49,794,rv,Mail-to-Web/Mail-to-Phone,2024-10-09,2024-10-20,0,16
Franklin and Marshall College,2.4,Pennsylvania,Kamala Harris,49,583,lv,Mail-to-Web/Mail-to-Phone,2024-10-09,2024-10-20,0,16
Franklin and Marshall College,2.4,Pennsylvania,Kamala Harris,48,794,rv,Mail-to-Web/Mail-to-Phone,2024-10-09,2024-10-20,0,16
Hart/POS,2.6,NA,Kamala Harris,46,1000,rv,Live Phone,2024-10-15,2024-10-19,1,17
Suffolk,2.9,NA,Kamala Harris,45.3,1000,lv,Live Phone,2024-10-14,2024-10-18,1,18
Suffolk,2.9,NA,Kamala Harris,49.7,1000,lv,Live Phone,2024-10-14,2024-10-18,1,18
Research & Polling,2.1,New Mexico,Kamala Harris,50,1024,lv,Live Phone,2024-10-10,2024-10-18,0,18
U. North Florida,2.8,Florida,Kamala Harris,43,977,lv,Live Phone,2024-10-07,2024-10-18,0,18
RMG Research,2.3,Florida,Kamala Harris,47,788,lv,Online Panel,2024-10-14,2024-10-17,0,19
Siena,2.7,New York,Kamala Harris,54,872,lv,Live Phone,2024-10-13,2024-10-17,0,19
Siena,2.7,New York,Kamala Harris,58,872,lv,Live Phone,2024-10-13,2024-10-17,0,19
AtlasIntel,2.7,NA,Kamala Harris,47.6,4180,lv,Online Ad,2024-10-12,2024-10-17,1,19
AtlasIntel,2.7,NA,Kamala Harris,48.1,4180,lv,Online Ad,2024-10-12,2024-10-17,1,19
AtlasIntel,2.7,Arizona,Kamala Harris,48.6,1440,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Arizona,Kamala Harris,49.3,1440,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Kamala Harris,48.1,1411,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Kamala Harris,48.4,1411,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Kamala Harris,46.8,1529,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Kamala Harris,47.3,1529,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Kamala Harris,48.1,1171,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Kamala Harris,48.4,1171,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Kamala Harris,49.5,1674,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Kamala Harris,50.5,1674,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Kamala Harris,46.5,2048,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Kamala Harris,47.4,2048,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Kamala Harris,48.9,932,lv,Online Ad,2024-10-12,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Kamala Harris,49,932,lv,Online Ad,2024-10-12,2024-10-17,0,19
Emerson,2.9,NA,Kamala Harris,49.5,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-14,2024-10-16,1,20
RMG Research,2.3,NA,Kamala Harris,50,2950,lv,Online Panel,2024-10-14,2024-10-16,1,20
Mason-Dixon,2.6,South Dakota,Kamala Harris,33,500,rv,Live Phone,2024-10-12,2024-10-16,0,20
YouGov,3,Arizona,Kamala Harris,48,1435,lv,Online Panel,2024-10-11,2024-10-16,0,20
UMass Amherst/YouGov,2.4,NA,Kamala Harris,48,1412,a,Online Panel,2024-10-11,2024-10-16,1,20
RMG Research,2.3,Wisconsin,Kamala Harris,49,787,lv,Online Panel,2024-10-10,2024-10-16,0,20
RMG Research,2.3,Michigan,Kamala Harris,49,789,lv,Online Panel,2024-10-10,2024-10-16,0,20
U. Georgia SPIA,2.2,Georgia,Kamala Harris,43.4,1000,lv,Live Phone,2024-10-07,2024-10-16,0,20
InsiderAdvantage,2,Georgia,Kamala Harris,47,800,rv,NA,2024-10-14,2024-10-15,0,21
YouGov,3,NA,Kamala Harris,48,1457,rv,Online Panel,2024-10-12,2024-10-15,1,21
YouGov,3,NA,Kamala Harris,49,1314,lv,Online Panel,2024-10-12,2024-10-15,1,21
PPIC,2.5,California,Kamala Harris,59,1137,lv,Probability Panel,2024-10-07,2024-10-15,0,21
Washington Post/George Mason University,2.7,Arizona,Kamala Harris,44,580,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Arizona,Kamala Harris,46,580,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Georgia,Kamala Harris,50,730,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Georgia,Kamala Harris,51,730,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Michigan,Kamala Harris,46,687,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Michigan,Kamala Harris,49,687,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Nevada,Kamala Harris,47,652,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Nevada,Kamala Harris,48,652,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,North Carolina,Kamala Harris,45,965,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,North Carolina,Kamala Harris,47,965,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Pennsylvania,Kamala Harris,49,707,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Pennsylvania,Kamala Harris,49,707,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Wisconsin,Kamala Harris,50,695,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Washington Post/George Mason University,2.7,Wisconsin,Kamala Harris,50,695,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,2024-09-30,2024-10-15,0,21
Mitchell,2.4,Michigan,Kamala Harris,47,589,lv,NA,2024-10-14,2024-10-14,0,22
Mitchell,2.4,Michigan,Kamala Harris,47.4,589,lv,NA,2024-10-14,2024-10-14,0,22
Emerson,2.9,California,Kamala Harris,61,1000,lv,IVR/Online Panel,2024-10-12,2024-10-14,0,22
Cygnal,2.1,North Carolina,Kamala Harris,46.6,600,lv,Live Phone/Text-to-Web,2024-10-12,2024-10-14,0,22
Beacon/Shaw,2.8,NA,Kamala Harris,48,1110,rv,Live Phone/Text-to-Web,2024-10-11,2024-10-14,1,22
Beacon/Shaw,2.8,NA,Kamala Harris,48,870,lv,Live Phone/Text-to-Web,2024-10-11,2024-10-14,1,22
Quinnipiac,2.8,Georgia,Kamala Harris,45,1328,lv,Live Phone,2024-10-10,2024-10-14,0,22
Quinnipiac,2.8,Georgia,Kamala Harris,46,1328,lv,Live Phone,2024-10-10,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Kamala Harris,49,1031,lv,Live Phone,2024-10-10,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Kamala Harris,50,1031,lv,Live Phone,2024-10-10,2024-10-14,0,22
SurveyUSA,2.8,Washington,Kamala Harris,57,703,lv,Online Panel,2024-10-09,2024-10-14,0,22
East Carolina University,2.6,Georgia,Kamala Harris,45.8,701,lv,IVR/Text-to-Web,2024-10-09,2024-10-14,0,22
Fairleigh Dickinson,2.6,NA,Kamala Harris,50,806,rv,Live Phone/Text-to-Web,2024-10-08,2024-10-14,1,22
Ipsos,2.8,NA,Kamala Harris,45,807,rv,Probability Panel,2024-10-11,2024-10-13,1,23
Ipsos,2.8,NA,Kamala Harris,47,769,lv,Probability Panel,2024-10-11,2024-10-13,1,23
Ipsos,2.8,NA,Kamala Harris,41,938,a,Probability Panel,2024-10-11,2024-10-13,1,23
YouGov,3,NA,Kamala Harris,51,2712,lv,Online Panel,2024-10-08,2024-10-11,1,25
Marist,2.9,NA,Kamala Harris,52,1401,lv,Online Panel/Text-to-Web,2024-10-08,2024-10-10,1,26
Marist,2.9,NA,Kamala Harris,51,1708,rv,Online Panel/Text-to-Web,2024-10-08,2024-10-10,1,26
RMG Research,2.3,NA,Kamala Harris,50,2945,lv,Online Panel,2024-10-07,2024-10-10,1,26
Siena/NYT,3,Pennsylvania,Kamala Harris,50,857,rv,Live Phone,2024-10-07,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Kamala Harris,49,857,rv,Live Phone,2024-10-07,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Kamala Harris,50,857,lv,Live Phone,2024-10-07,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Kamala Harris,49,857,lv,Live Phone,2024-10-07,2024-10-10,0,26
Siena/NYT,3,Arizona,Kamala Harris,46,808,lv,Live Phone,2024-10-07,2024-10-10,0,26
Siena/NYT,3,Arizona,Kamala Harris,45,808,lv,Live Phone,2024-10-07,2024-10-10,0,26
Siena/NYT,3,Arizona,Kamala Harris,45,808,rv,Live Phone,2024-10-07,2024-10-10,0,26
Siena/NYT,3,Arizona,Kamala Harris,44,808,rv,Live Phone,2024-10-07,2024-10-10,0,26
RMG Research,2.3,Georgia,Kamala Harris,47,731,lv,Online Panel,2024-10-07,2024-10-10,0,26
UMass Amherst/YouGov,2.4,Massachusetts,Kamala Harris,56,700,a,Online Panel,2024-10-03,2024-10-10,0,26
University of Massachusetts Lowell/YouGov,2.9,New Hampshire,Kamala Harris,50,600,lv,Online Panel,2024-10-02,2024-10-10,0,26
YouGov,3,Texas,Kamala Harris,46,1091,lv,Online Panel,2024-10-02,2024-10-10,0,26
Marquette Law School,3,NA,Kamala Harris,50,780,rv,Probability Panel,2024-10-01,2024-10-10,1,26
Marquette Law School,3,NA,Kamala Harris,43,780,rv,Probability Panel,2024-10-01,2024-10-10,1,26
Marquette Law School,3,NA,Kamala Harris,50,652,lv,Probability Panel,2024-10-01,2024-10-10,1,26
Marquette Law School,3,NA,Kamala Harris,44,652,lv,Probability Panel,2024-10-01,2024-10-10,1,26
U. Houston,2.2,Texas,Kamala Harris,46,1329,lv,Online Panel,2024-09-26,2024-10-10,0,26
InsiderAdvantage,2,Michigan,Kamala Harris,46,800,lv,Text,2024-10-08,2024-10-09,0,27
InsiderAdvantage,2,Wisconsin,Kamala Harris,48,800,lv,Text,2024-10-08,2024-10-09,0,27
University of Massachusetts Lowell/YouGov,2.9,Pennsylvania,Kamala Harris,46,800,lv,Online Panel,2024-10-02,2024-10-09,0,27
InsiderAdvantage,2,Pennsylvania,Kamala Harris,47,800,lv,Text,2024-10-07,2024-10-08,0,28
Emerson,2.9,Arizona,Kamala Harris,48.2,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,0,28
Emerson,2.9,Georgia,Kamala Harris,49.8,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,0,28
Emerson,2.9,Michigan,Kamala Harris,49.7,950,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,0,28
Emerson,2.9,Nevada,Kamala Harris,49.2,900,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,0,28
Emerson,2.9,North Carolina,Kamala Harris,49,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,0,28
Emerson,2.9,Pennsylvania,Kamala Harris,49,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,0,28
Emerson,2.9,Wisconsin,Kamala Harris,49.2,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,0,28
Siena/NYT,3,Montana,Kamala Harris,39,656,rv,Live Phone,2024-10-05,2024-10-08,0,28
Siena/NYT,3,Montana,Kamala Harris,38,656,rv,Live Phone,2024-10-05,2024-10-08,0,28
Siena/NYT,3,Montana,Kamala Harris,40,656,lv,Live Phone,2024-10-05,2024-10-08,0,28
Siena/NYT,3,Montana,Kamala Harris,39,656,lv,Live Phone,2024-10-05,2024-10-08,0,28
Hart/POS,2.6,NA,Kamala Harris,46,1000,rv,Live Phone,2024-10-04,2024-10-08,1,28
Hart/POS,2.6,NA,Kamala Harris,48,1000,rv,Live Phone,2024-10-04,2024-10-08,1,28
Ipsos,2.8,NA,Kamala Harris,49,2631,a,Probability Panel,2024-10-04,2024-10-08,1,28
Ipsos,2.8,NA,Kamala Harris,49,2226,rv,Probability Panel,2024-10-04,2024-10-08,1,28
Ipsos,2.8,NA,Kamala Harris,50,1714,lv,Probability Panel,2024-10-04,2024-10-08,1,28
Ipsos,2.8,NA,Kamala Harris,50,2631,a,Probability Panel,2024-10-04,2024-10-08,1,28
Ipsos,2.8,NA,Kamala Harris,50,2226,rv,Probability Panel,2024-10-04,2024-10-08,1,28
Ipsos,2.8,NA,Kamala Harris,51,1714,lv,Probability Panel,2024-10-04,2024-10-08,1,28
YouGov,3,NA,Kamala Harris,47,1414,rv,Online Panel,2024-10-06,2024-10-07,1,29
YouGov,3,NA,Kamala Harris,49,1230,lv,Online Panel,2024-10-06,2024-10-07,1,29
Research Co.,2.4,Michigan,Kamala Harris,51,450,lv,Online Panel,2024-10-05,2024-10-07,0,29
Research Co.,2.4,Pennsylvania,Kamala Harris,50,450,lv,Online Panel,2024-10-05,2024-10-07,0,29
Research Co.,2.4,Wisconsin,Kamala Harris,50,450,lv,Online Panel,2024-10-05,2024-10-07,0,29
Ipsos,2.8,NA,Kamala Harris,42,1272,a,Probability Panel,2024-10-04,2024-10-07,1,29
Ipsos,2.8,NA,Kamala Harris,46,1076,rv,Probability Panel,2024-10-04,2024-10-07,1,29
Ipsos,2.8,NA,Kamala Harris,47,1076,lv,Probability Panel,2024-10-04,2024-10-07,1,29
Ipsos,2.8,NA,Kamala Harris,48,1272,a,Probability Panel,2024-10-04,2024-10-07,1,29
Ipsos,2.8,NA,Kamala Harris,50,1076,rv,Probability Panel,2024-10-04,2024-10-07,1,29
Ipsos,2.8,NA,Kamala Harris,51,1076,lv,Probability Panel,2024-10-04,2024-10-07,1,29
Quinnipiac,2.8,Michigan,Kamala Harris,47,1007,lv,Live Phone,2024-10-03,2024-10-07,0,29
Quinnipiac,2.8,Michigan,Kamala Harris,47,1007,lv,Live Phone,2024-10-03,2024-10-07,0,29
Quinnipiac,2.8,Pennsylvania,Kamala Harris,49,1412,lv,Live Phone,2024-10-03,2024-10-07,0,29
Quinnipiac,2.8,Pennsylvania,Kamala Harris,49,1412,lv,Live Phone,2024-10-03,2024-10-07,0,29
Quinnipiac,2.8,Wisconsin,Kamala Harris,46,1073,lv,Live Phone,2024-10-03,2024-10-07,0,29
Quinnipiac,2.8,Wisconsin,Kamala Harris,47,1073,lv,Live Phone,2024-10-03,2024-10-07,0,29
Marist,2.9,Florida,Kamala Harris,47,1257,lv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,0,29
Marist,2.9,Florida,Kamala Harris,47,1410,rv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,0,29
Marist,2.9,Texas,Kamala Harris,46,1365,rv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,0,29
Marist,2.9,Texas,Kamala Harris,46,1186,lv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,0,29
Marist,2.9,Ohio,Kamala Harris,46,1511,rv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,0,29
Marist,2.9,Ohio,Kamala Harris,46,1327,lv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,0,29
The Washington Post,3,Ohio,Kamala Harris,45,1002,lv,Live Phone/Text-to-Web,2024-10-03,2024-10-07,0,29
The Washington Post,3,Ohio,Kamala Harris,44,1002,rv,Live Phone/Text-to-Web,2024-10-03,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Kamala Harris,38,539,lv,Online Panel/Text-to-Web,2024-10-02,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Kamala Harris,36,539,lv,Online Panel/Text-to-Web,2024-10-02,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Kamala Harris,39,600,rv,Online Panel/Text-to-Web,2024-10-02,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Kamala Harris,37,600,rv,Online Panel/Text-to-Web,2024-10-02,2024-10-07,0,29
Research Co.,2.4,NA,Kamala Harris,49,1001,lv,Online Panel,2024-10-04,2024-10-06,1,30
Pew,2.5,NA,Kamala Harris,48,4025,rv,Probability Panel,2024-09-30,2024-10-06,1,30
Pew,2.5,NA,Kamala Harris,50,4025,rv,Probability Panel,2024-09-30,2024-10-06,1,30
Siena/NYT,3,NA,Kamala Harris,49,3385,lv,Live Phone,2024-09-29,2024-10-06,1,30
Siena/NYT,3,NA,Kamala Harris,47,3385,lv,Live Phone,2024-09-29,2024-10-06,1,30
Siena/NYT,3,Florida,Kamala Harris,41,622,lv,Live Phone,2024-09-29,2024-10-06,0,30
Siena/NYT,3,Florida,Kamala Harris,40,622,lv,Live Phone,2024-09-29,2024-10-06,0,30
Siena/NYT,3,Florida,Kamala Harris,41,622,rv,Live Phone,2024-09-29,2024-10-06,0,30
Siena/NYT,3,Florida,Kamala Harris,40,622,rv,Live Phone,2024-09-29,2024-10-06,0,30
Suffolk,2.9,Massachusetts,Kamala Harris,61.2,500,lv,Live Phone,2024-10-01,2024-10-05,0,31
YouGov,3,NA,Kamala Harris,46,1150,rv,Online Panel,2024-10-02,2024-10-04,1,32
YouGov,3,NA,Kamala Harris,47,1032,lv,Online Panel,2024-10-02,2024-10-04,1,32
YouGov,3,NA,Kamala Harris,48,1151,rv,Online Panel,2024-10-02,2024-10-04,1,32
YouGov,3,NA,Kamala Harris,48,1033,lv,Online Panel,2024-10-02,2024-10-04,1,32
Noble Predictive Insights,2.4,NA,Kamala Harris,49,2290,lv,Online Panel,2024-10-02,2024-10-04,1,32
Noble Predictive Insights,2.4,NA,Kamala Harris,49,2290,lv,Online Panel,2024-10-02,2024-10-04,1,32
Noble Predictive Insights,2.4,NA,Kamala Harris,47,2560,rv,Online Panel,2024-10-02,2024-10-04,1,32
Noble Predictive Insights,2.4,NA,Kamala Harris,47,2560,rv,Online Panel,2024-10-02,2024-10-04,1,32
Mason-Dixon,2.6,Florida,Kamala Harris,43,625,lv,Live Phone,2024-10-01,2024-10-04,0,32
Siena/NYT,3,Texas,Kamala Harris,44,617,lv,Live Phone,2024-09-29,2024-10-04,0,32
Siena/NYT,3,Texas,Kamala Harris,42,617,lv,Live Phone,2024-09-29,2024-10-04,0,32
Siena/NYT,3,Texas,Kamala Harris,44,617,rv,Live Phone,2024-09-29,2024-10-04,0,32
Siena/NYT,3,Texas,Kamala Harris,41,617,rv,Live Phone,2024-09-29,2024-10-04,0,32
Christopher Newport U.,2.8,Virginia,Kamala Harris,52,800,lv,Live Phone,2024-09-28,2024-10-04,0,32
Data for Progress,2.6,NA,Kamala Harris,49,1211,lv,Online Panel,2024-10-02,2024-10-03,1,33
Cygnal,2.1,NA,Kamala Harris,47.2,1500,lv,NA,2024-10-02,2024-10-03,1,33
Cygnal,2.1,NA,Kamala Harris,50.3,1500,lv,NA,2024-10-02,2024-10-03,1,33
RMG Research,2.3,NA,Kamala Harris,49,2965,lv,Online Panel,2024-09-30,2024-10-03,1,33
RMG Research,2.3,Nevada,Kamala Harris,49,782,lv,Online Panel,2024-09-30,2024-10-03,0,33
St. Anselm,2.4,New Hampshire,Kamala Harris,51,2104,lv,Online Panel,2024-10-01,2024-10-02,0,34
RMG Research,2.3,Arizona,Kamala Harris,46,783,lv,Online Panel,2024-09-30,2024-10-02,0,34
YouGov/Center for Working Class Politics,3,Pennsylvania,Kamala Harris,46.8,1000,rv,Online Panel,2024-09-24,2024-10-02,0,34
YouGov,3,NA,Kamala Harris,48,1463,rv,Online Panel,2024-09-29,2024-10-01,1,35
YouGov,3,NA,Kamala Harris,49,1261,lv,Online Panel,2024-09-29,2024-10-01,1,35
Emerson,2.9,NA,Kamala Harris,50.2,1000,lv,IVR/Online Panel/Text-to-Web,2024-09-29,2024-10-01,1,35
Marist,2.9,NA,Kamala Harris,50,1294,lv,Live Phone/Online Panel/Text-to-Web,2024-09-27,2024-10-01,1,35
Marist,2.9,NA,Kamala Harris,50,1514,rv,Live Phone/Online Panel/Text-to-Web,2024-09-27,2024-10-01,1,35
UC Berkeley,2.5,California,Kamala Harris,57,3045,lv,Email,2024-09-25,2024-10-01,0,35
Susquehanna,2.3,NA,Kamala Harris,49,1001,lv,NA,2024-09-23,2024-10-01,1,35
Mitchell,2.4,Michigan,Kamala Harris,48,709,lv,Text-to-Web,2024-09-30,2024-09-30,0,36
Mitchell,2.4,Michigan,Kamala Harris,47,709,lv,Text-to-Web,2024-09-30,2024-09-30,0,36
InsiderAdvantage,2,Arizona,Kamala Harris,47.7,800,lv,Text,2024-09-29,2024-09-30,0,36
InsiderAdvantage,2,Nevada,Kamala Harris,48.4,800,lv,Text,2024-09-29,2024-09-30,0,36
InsiderAdvantage,2,North Carolina,Kamala Harris,49.3,800,lv,Text,2024-09-29,2024-09-30,0,36
