pollster,numeric_grade,state,pct,sample_size,population,methodology,recency_weight,sample_size_weight,national_poll
Redfield & Wilton Strategies,1.8,Michigan,47,1115,lv,Online Panel,0.8464817248906141,0.48478260869565215,0
Redfield & Wilton Strategies,1.8,Nevada,46,540,lv,Online Panel,0.8464817248906141,0.23478260869565218,0
Redfield & Wilton Strategies,1.8,North Carolina,47,679,lv,Online Panel,0.8464817248906141,0.2952173913043478,0
Redfield & Wilton Strategies,1.8,Pennsylvania,48,1586,lv,Online Panel,0.8464817248906141,0.6895652173913044,0
Redfield & Wilton Strategies,1.8,Wisconsin,49,557,lv,Online Panel,0.8464817248906141,0.24217391304347827,0
YouGov,3,NA,48,1422,rv,Online Panel,0.8464817248906141,0.6182608695652174,1
YouGov,3,NA,49,1293,lv,Online Panel,0.8464817248906141,0.5621739130434783,1
Emerson,2.9,South Dakota,36.5,825,lv,IVR/Online Panel/Text-to-Web,0.8464817248906141,0.358695652173913,0
OnMessage Inc.,1.1,Nevada,47,600,lv,Text-to-Web,0.8464817248906141,0.2608695652173913,0
OnMessage Inc.,1.1,Ohio,44,600,lv,Text-to-Web,0.8464817248906141,0.2608695652173913,0
OnMessage Inc.,1.1,Wisconsin,47,600,lv,Text-to-Web,0.8464817248906141,0.2608695652173913,0
Ipsos,2.8,NA,48,2808,a,Probability Panel,0.8464817248906141,1,1
Ipsos,2.8,NA,49,2392,rv,Probability Panel,0.8464817248906141,1,1
Ipsos,2.8,NA,51,1913,lv,Probability Panel,0.8464817248906141,0.8317391304347826,1
Marist,2.9,Georgia,49,1356,rv,Live Phone/Online Panel/Text-to-Web,0.8464817248906141,0.5895652173913043,0
Marist,2.9,Georgia,49,1193,lv,Live Phone/Online Panel/Text-to-Web,0.8464817248906141,0.518695652173913,0
Marist,2.9,North Carolina,48,1410,rv,Live Phone/Online Panel/Text-to-Web,0.8464817248906141,0.6130434782608696,0
Marist,2.9,North Carolina,48,1226,lv,Live Phone/Online Panel/Text-to-Web,0.8464817248906141,0.5330434782608696,0
Marist,2.9,Arizona,49,1329,rv,Live Phone/Online Panel/Text-to-Web,0.8464817248906141,0.5778260869565217,0
Marist,2.9,Arizona,49,1193,lv,Live Phone/Online Panel/Text-to-Web,0.8464817248906141,0.518695652173913,0
University of Maryland/Washington Post,2.5,Maryland,61,1000,lv,Live Phone/Text-to-Web,0.8464817248906141,0.43478260869565216,0
Redfield & Wilton Strategies,1.8,NA,45,1189,lv,Online Panel,0.8187307530779818,0.5169565217391304,1
TIPP,1.8,NA,48,1268,lv,Online Panel,0.8187307530779818,0.551304347826087,1
Emerson,2.9,Maryland,64,865,lv,Online Panel/Text-to-Web,0.8187307530779818,0.3760869565217391,0
YouGov,3,NA,47,1266,rv,Online Panel,0.8187307530779818,0.5504347826086956,1
YouGov,3,NA,48,1189,lv,Online Panel,0.8187307530779818,0.5169565217391304,1
Emerson,2.9,Texas,45.9,815,lv,IVR/Online Panel/Text-to-Web,0.8187307530779818,0.35434782608695653,0
Change Research,1.4,Nebraska,41,815,lv,Text-to-Web/Online Ad,0.8187307530779818,0.35434782608695653,0
Monmouth,2.9,NA,47,802,rv,Live Phone/Text-to-Web,0.8187307530779818,0.348695652173913,1
Quinnipiac,2.8,Michigan,49,1136,lv,Live Phone,0.8187307530779818,0.49391304347826087,0
Quinnipiac,2.8,Michigan,50,1136,lv,Live Phone,0.8187307530779818,0.49391304347826087,0
Quinnipiac,2.8,Wisconsin,48,1108,lv,Live Phone,0.8187307530779818,0.4817391304347826,0
Quinnipiac,2.8,Wisconsin,48,1108,lv,Live Phone,0.8187307530779818,0.4817391304347826,0
Ipsos,2.8,NA,46,3481,rv,Probability Panel,0.8187307530779818,1,1
Ipsos,2.8,NA,48,3307,lv,Probability Panel,0.8187307530779818,1,1
Ipsos,2.8,NA,41,4129,a,Probability Panel,0.8187307530779818,1,1
Ipsos,2.8,NA,41,4129,a,Probability Panel,0.8187307530779818,1,1
Ipsos,2.8,NA,45,3481,rv,Probability Panel,0.8187307530779818,1,1
Ipsos,2.8,NA,47,3307,lv,Probability Panel,0.8187307530779818,1,1
InsiderAdvantage,2,Nevada,47.7,800,lv,NA,0.7918895663367816,0.34782608695652173,0
InsiderAdvantage,2,Arizona,47,800,lv,NA,0.7918895663367816,0.34782608695652173,0
InsiderAdvantage,2,North Carolina,46.8,800,lv,NA,0.7918895663367816,0.34782608695652173,0
HighGround,1.8,Arizona,46.2,400,lv,Live Phone,0.7918895663367816,0.17391304347826086,0
TIPP,1.8,NA,47,1244,lv,Online Panel,0.7918895663367816,0.5408695652173913,1
Trafalgar Group,0.7,Wisconsin,46.6,1083,lv,IVR/Live Phone/Text/Online Panel/Email,0.7918895663367816,0.4708695652173913,0
Trafalgar Group,0.7,Michigan,44.2,1090,lv,IVR/Live Phone/Text/Online Panel/Email,0.7918895663367816,0.47391304347826085,0
Morning Consult,1.9,NA,50,8570,lv,Online Panel,0.7918895663367816,1,1
Emerson,2.9,Florida,45.9,860,lv,IVR/Online Panel/Text-to-Web,0.7918895663367816,0.3739130434782609,0
SurveyUSA/High Point University,2.8,North Carolina,47,1164,rv,Online Panel,0.7918895663367816,0.5060869565217392,0
Morning Consult,1.9,Arizona,48,915,rv,Online Panel,0.7918895663367816,0.3978260869565217,0
Morning Consult,1.9,Arizona,49,915,rv,Online Panel,0.7918895663367816,0.3978260869565217,0
Morning Consult,1.9,Arizona,48,861,lv,Online Panel,0.7918895663367816,0.37434782608695655,0
Morning Consult,1.9,Arizona,49,861,lv,Online Panel,0.7918895663367816,0.37434782608695655,0
Morning Consult,1.9,Georgia,48,914,rv,Online Panel,0.7918895663367816,0.3973913043478261,0
Morning Consult,1.9,Georgia,48,914,rv,Online Panel,0.7918895663367816,0.3973913043478261,0
Morning Consult,1.9,Georgia,48,855,lv,Online Panel,0.7918895663367816,0.3717391304347826,0
Morning Consult,1.9,Georgia,48,855,lv,Online Panel,0.7918895663367816,0.3717391304347826,0
Morning Consult,1.9,Michigan,47,756,rv,Online Panel,0.7918895663367816,0.32869565217391306,0
Morning Consult,1.9,Michigan,48,756,rv,Online Panel,0.7918895663367816,0.32869565217391306,0
Morning Consult,1.9,Michigan,49,705,lv,Online Panel,0.7918895663367816,0.3065217391304348,0
Morning Consult,1.9,Michigan,50,705,lv,Online Panel,0.7918895663367816,0.3065217391304348,0
Morning Consult,1.9,Nevada,48,449,rv,Online Panel,0.7918895663367816,0.19521739130434781,0
Morning Consult,1.9,Nevada,49,449,rv,Online Panel,0.7918895663367816,0.19521739130434781,0
Morning Consult,1.9,Nevada,48,420,lv,Online Panel,0.7918895663367816,0.1826086956521739,0
Morning Consult,1.9,Nevada,49,420,lv,Online Panel,0.7918895663367816,0.1826086956521739,0
Morning Consult,1.9,North Carolina,46,755,rv,Online Panel,0.7918895663367816,0.3282608695652174,0
Morning Consult,1.9,North Carolina,47,755,rv,Online Panel,0.7918895663367816,0.3282608695652174,0
Morning Consult,1.9,North Carolina,48,702,lv,Online Panel,0.7918895663367816,0.30521739130434783,0
Morning Consult,1.9,North Carolina,48,702,lv,Online Panel,0.7918895663367816,0.30521739130434783,0
Morning Consult,1.9,Pennsylvania,48,866,rv,Online Panel,0.7918895663367816,0.3765217391304348,0
Morning Consult,1.9,Pennsylvania,48,866,rv,Online Panel,0.7918895663367816,0.3765217391304348,0
Morning Consult,1.9,Pennsylvania,50,812,lv,Online Panel,0.7918895663367816,0.35304347826086957,0
Morning Consult,1.9,Pennsylvania,50,812,lv,Online Panel,0.7918895663367816,0.35304347826086957,0
Morning Consult,1.9,Wisconsin,47,635,rv,Online Panel,0.7918895663367816,0.27608695652173915,0
Morning Consult,1.9,Wisconsin,48,635,rv,Online Panel,0.7918895663367816,0.27608695652173915,0
Morning Consult,1.9,Wisconsin,47,624,lv,Online Panel,0.7918895663367816,0.271304347826087,0
Morning Consult,1.9,Wisconsin,48,624,lv,Online Panel,0.7918895663367816,0.271304347826087,0
Cherry Communications,1,Florida,45,614,lv,Live Phone,0.7918895663367816,0.2669565217391304,0
Franklin and Marshall College,2.4,Pennsylvania,49,794,rv,Mail-to-Web/Mail-to-Phone,0.7918895663367816,0.3452173913043478,0
Franklin and Marshall College,2.4,Pennsylvania,49,583,lv,Mail-to-Web/Mail-to-Phone,0.7918895663367816,0.2534782608695652,0
Franklin and Marshall College,2.4,Pennsylvania,48,794,rv,Mail-to-Web/Mail-to-Phone,0.7918895663367816,0.3452173913043478,0
TIPP,1.8,NA,47,1254,lv,Online Panel,0.7659283383646487,0.5452173913043479,1
Trafalgar Group,0.7,Pennsylvania,43.3,1084,lv,IVR/Live Phone/Text/Online Panel/Email,0.7659283383646487,0.47130434782608693,0
Morning Consult,1.9,NA,50,8170,lv,Online Panel,0.7659283383646487,1,1
Hart/POS,2.6,NA,46,1000,rv,Live Phone,0.7659283383646487,0.43478260869565216,1
HarrisX,1.5,Utah,31,813,rv,Online Panel,0.7659283383646487,0.35347826086956524,0
TIPP,1.8,NA,48,1223,lv,Online Panel,0.7408182206817179,0.5317391304347826,1
Redfield & Wilton Strategies,1.8,Arizona,46,691,lv,Online Panel,0.7408182206817179,0.30043478260869566,0
Redfield & Wilton Strategies,1.8,Florida,45,1275,lv,Online Panel,0.7408182206817179,0.5543478260869565,0
Redfield & Wilton Strategies,1.8,Michigan,47,1008,lv,Online Panel,0.7408182206817179,0.43826086956521737,0
Redfield & Wilton Strategies,1.8,Nevada,46,529,lv,Online Panel,0.7408182206817179,0.23,0
Redfield & Wilton Strategies,1.8,Wisconsin,47,622,lv,Online Panel,0.7408182206817179,0.27043478260869563,0
Redfield & Wilton Strategies,1.8,North Carolina,45,843,lv,Online Panel,0.7408182206817179,0.3665217391304348,0
Redfield & Wilton Strategies,1.8,Georgia,47,1019,lv,Online Panel,0.7408182206817179,0.44304347826086954,0
Redfield & Wilton Strategies,1.8,Pennsylvania,48,1256,lv,Online Panel,0.7408182206817179,0.5460869565217391,0
Morning Consult,1.9,NA,50,8204,lv,Online Panel,0.7408182206817179,1,1
WPAi,1.7,Oklahoma,29,502,lv,NA,0.7408182206817179,0.2182608695652174,0
Suffolk,2.9,NA,45.3,1000,lv,Live Phone,0.7408182206817179,0.43478260869565216,1
Suffolk,2.9,NA,49.7,1000,lv,Live Phone,0.7408182206817179,0.43478260869565216,1
Research & Polling,2.1,New Mexico,50,1024,lv,Live Phone,0.7408182206817179,0.44521739130434784,0
U. North Florida,2.8,Florida,43,977,lv,Live Phone,0.7408182206817179,0.42478260869565215,0
PPP,1.4,Washington,55,571,lv,IVR/Text,0.7165313105737893,0.2482608695652174,0
PPP,1.4,Oregon,53,716,lv,IVR/Text,0.7165313105737893,0.31130434782608696,0
TIPP,1.8,NA,49,1257,lv,Online Panel,0.7165313105737893,0.5465217391304348,1
Morning Consult,1.9,NA,50,8484,lv,Online Panel,0.7165313105737893,1,1
RMG Research,2.3,Florida,47,788,lv,Online Panel,0.7165313105737893,0.3426086956521739,0
Siena,2.7,New York,54,872,lv,Live Phone,0.7165313105737893,0.3791304347826087,0
Siena,2.7,New York,58,872,lv,Live Phone,0.7165313105737893,0.3791304347826087,0
AtlasIntel,2.7,NA,47.6,4180,lv,Online Ad,0.7165313105737893,1,1
AtlasIntel,2.7,NA,48.1,4180,lv,Online Ad,0.7165313105737893,1,1
AtlasIntel,2.7,Arizona,48.6,1440,lv,Online Ad,0.7165313105737893,0.6260869565217392,0
AtlasIntel,2.7,Arizona,49.3,1440,lv,Online Ad,0.7165313105737893,0.6260869565217392,0
AtlasIntel,2.7,Georgia,48.1,1411,lv,Online Ad,0.7165313105737893,0.6134782608695653,0
AtlasIntel,2.7,Georgia,48.4,1411,lv,Online Ad,0.7165313105737893,0.6134782608695653,0
AtlasIntel,2.7,Michigan,46.8,1529,lv,Online Ad,0.7165313105737893,0.6647826086956522,0
AtlasIntel,2.7,Michigan,47.3,1529,lv,Online Ad,0.7165313105737893,0.6647826086956522,0
AtlasIntel,2.7,Nevada,48.1,1171,lv,Online Ad,0.7165313105737893,0.5091304347826087,0
AtlasIntel,2.7,Nevada,48.4,1171,lv,Online Ad,0.7165313105737893,0.5091304347826087,0
AtlasIntel,2.7,North Carolina,49.5,1674,lv,Online Ad,0.7165313105737893,0.7278260869565217,0
AtlasIntel,2.7,North Carolina,50.5,1674,lv,Online Ad,0.7165313105737893,0.7278260869565217,0
AtlasIntel,2.7,Pennsylvania,46.5,2048,lv,Online Ad,0.7165313105737893,0.8904347826086957,0
AtlasIntel,2.7,Pennsylvania,47.4,2048,lv,Online Ad,0.7165313105737893,0.8904347826086957,0
AtlasIntel,2.7,Wisconsin,48.9,932,lv,Online Ad,0.7165313105737893,0.4052173913043478,0
AtlasIntel,2.7,Wisconsin,49,932,lv,Online Ad,0.7165313105737893,0.4052173913043478,0
TIPP,1.8,NA,49,1228,lv,Online Panel,0.6930406200864415,0.5339130434782609,1
Emerson,2.9,NA,49.5,1000,lv,IVR/Online Panel/Text-to-Web,0.6930406200864415,0.43478260869565216,1
OnMessage Inc.,1.1,NA,45,800,lv,Online Panel,0.6930406200864415,0.34782608695652173,1
RMG Research,2.3,NA,50,2950,lv,Online Panel,0.6930406200864415,1,1
TIPP,1.8,Georgia,48.8,1029,rv,Online Panel,0.6930406200864415,0.4473913043478261,0
TIPP,1.8,Georgia,48.3,813,lv,Online Panel,0.6930406200864415,0.35347826086956524,0
TIPP,1.8,Georgia,48.3,1029,rv,Online Panel,0.6930406200864415,0.4473913043478261,0
TIPP,1.8,Georgia,49,813,lv,Online Panel,0.6930406200864415,0.35347826086956524,0
Morning Consult,1.9,NA,50,8756,lv,Online Panel,0.6930406200864415,1,1
Mason-Dixon,2.6,South Dakota,33,500,rv,Live Phone,0.6930406200864415,0.21739130434782608,0
YouGov,3,Arizona,48,1435,lv,Online Panel,0.6930406200864415,0.6239130434782608,0
UMass Amherst/YouGov,2.4,NA,48,1412,a,Online Panel,0.6930406200864415,0.6139130434782609,1
RMG Research,2.3,Wisconsin,49,787,lv,Online Panel,0.6930406200864415,0.3421739130434783,0
RMG Research,2.3,Michigan,49,789,lv,Online Panel,0.6930406200864415,0.34304347826086956,0
U. Georgia SPIA,2.2,Georgia,43.4,1000,lv,Live Phone,0.6930406200864415,0.43478260869565216,0
InsiderAdvantage,2,Georgia,47,800,rv,NA,0.6703200460356393,0.34782608695652173,0
TIPP,1.8,NA,50,1248,lv,Online Panel,0.6703200460356393,0.542608695652174,1
Morning Consult,1.9,NA,50,8839,lv,Online Panel,0.6703200460356393,1,1
YouGov,3,NA,48,1457,rv,Online Panel,0.6703200460356393,0.6334782608695653,1
YouGov,3,NA,49,1314,lv,Online Panel,0.6703200460356393,0.571304347826087,1
Fabrizio/Impact,1.7,Nevada,46,600,lv,Live Phone/Text-to-Web,0.6703200460356393,0.2608695652173913,0
Fabrizio/Impact,1.7,Nevada,47,600,lv,Live Phone/Text-to-Web,0.6703200460356393,0.2608695652173913,0
PPIC,2.5,California,59,1137,lv,Probability Panel,0.6703200460356393,0.49434782608695654,0
Morning Consult,1.9,Arizona,49,653,lv,Online Panel,0.6703200460356393,0.28391304347826085,0
Morning Consult,1.9,Georgia,48,1002,lv,Online Panel,0.6703200460356393,0.4356521739130435,0
Morning Consult,1.9,Maryland,64,490,lv,Online Panel,0.6703200460356393,0.21304347826086956,0
Morning Consult,1.9,Michigan,49,1065,lv,Online Panel,0.6703200460356393,0.46304347826086956,0
Morning Consult,1.9,Nevada,49,496,lv,Online Panel,0.6703200460356393,0.21565217391304348,0
Morning Consult,1.9,North Carolina,48,1072,lv,Online Panel,0.6703200460356393,0.46608695652173915,0
Morning Consult,1.9,Ohio,45,1243,lv,Online Panel,0.6703200460356393,0.5404347826086957,0
Morning Consult,1.9,Pennsylvania,49,1395,lv,Online Panel,0.6703200460356393,0.6065217391304348,0
Morning Consult,1.9,Texas,46,2048,lv,Online Panel,0.6703200460356393,0.8904347826086957,0
Morning Consult,1.9,Wisconsin,47,527,lv,Online Panel,0.6703200460356393,0.2291304347826087,0
Washington Post/George Mason University,2.7,Arizona,44,580,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,0.6703200460356393,0.25217391304347825,0
Washington Post/George Mason University,2.7,Arizona,46,580,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,0.6703200460356393,0.25217391304347825,0
Washington Post/George Mason University,2.7,Georgia,50,730,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,0.6703200460356393,0.3173913043478261,0
Washington Post/George Mason University,2.7,Georgia,51,730,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,0.6703200460356393,0.3173913043478261,0
Washington Post/George Mason University,2.7,Michigan,46,687,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,0.6703200460356393,0.29869565217391303,0
Washington Post/George Mason University,2.7,Michigan,49,687,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,0.6703200460356393,0.29869565217391303,0
Washington Post/George Mason University,2.7,Nevada,47,652,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,0.6703200460356393,0.28347826086956524,0
Washington Post/George Mason University,2.7,Nevada,48,652,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,0.6703200460356393,0.28347826086956524,0
Washington Post/George Mason University,2.7,North Carolina,45,965,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,0.6703200460356393,0.41956521739130437,0
Washington Post/George Mason University,2.7,North Carolina,47,965,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,0.6703200460356393,0.41956521739130437,0
Washington Post/George Mason University,2.7,Pennsylvania,49,707,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,0.6703200460356393,0.3073913043478261,0
Washington Post/George Mason University,2.7,Pennsylvania,49,707,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,0.6703200460356393,0.3073913043478261,0
Washington Post/George Mason University,2.7,Wisconsin,50,695,rv,Live Phone/Text-to-Web/Email/Mail-to-Web,0.6703200460356393,0.30217391304347824,0
Washington Post/George Mason University,2.7,Wisconsin,50,695,lv,Live Phone/Text-to-Web/Email/Mail-to-Web,0.6703200460356393,0.30217391304347824,0
Mitchell,2.4,Michigan,47,589,lv,NA,0.6483443410015097,0.25608695652173913,0
Mitchell,2.4,Michigan,47.4,589,lv,NA,0.6483443410015097,0.25608695652173913,0
TIPP,1.8,NA,49,1198,lv,Online Panel,0.6483443410015097,0.5208695652173913,1
Patriot Polling,1.1,Wisconsin,49,803,rv,IVR,0.6483443410015097,0.3491304347826087,0
Emerson,2.9,California,61,1000,lv,IVR/Online Panel,0.6483443410015097,0.43478260869565216,0
Redfield & Wilton Strategies,1.8,North Carolina,46,620,lv,Online Panel,0.6483443410015097,0.26956521739130435,0
Redfield & Wilton Strategies,1.8,Arizona,46,1141,lv,Online Panel,0.6483443410015097,0.4960869565217391,0
Redfield & Wilton Strategies,1.8,Florida,44,1009,lv,Online Panel,0.6483443410015097,0.43869565217391304,0
Redfield & Wilton Strategies,1.8,Georgia,47,637,lv,Online Panel,0.6483443410015097,0.27695652173913043,0
Redfield & Wilton Strategies,1.8,Michigan,47,682,lv,Online Panel,0.6483443410015097,0.2965217391304348,0
Redfield & Wilton Strategies,1.8,Minnesota,51,544,lv,Online Panel,0.6483443410015097,0.23652173913043478,0
Redfield & Wilton Strategies,1.8,Nevada,47,838,lv,Online Panel,0.6483443410015097,0.36434782608695654,0
Redfield & Wilton Strategies,1.8,New Mexico,49,382,lv,Online Panel,0.6483443410015097,0.16608695652173913,0
Redfield & Wilton Strategies,1.8,Pennsylvania,48,1649,lv,Online Panel,0.6483443410015097,0.7169565217391304,0
Redfield & Wilton Strategies,1.8,Wisconsin,48,641,lv,Online Panel,0.6483443410015097,0.27869565217391307,0
Cygnal,2.1,North Carolina,46.6,600,lv,Live Phone/Text-to-Web,0.6483443410015097,0.2608695652173913,0
Morning Consult,1.9,NA,50,8929,lv,Online Panel,0.6483443410015097,1,1
Beacon/Shaw,2.8,NA,48,1110,rv,Live Phone/Text-to-Web,0.6483443410015097,0.4826086956521739,1
Beacon/Shaw,2.8,NA,48,870,lv,Live Phone/Text-to-Web,0.6483443410015097,0.3782608695652174,1
Quinnipiac,2.8,Georgia,45,1328,lv,Live Phone,0.6483443410015097,0.577391304347826,0
Quinnipiac,2.8,Georgia,46,1328,lv,Live Phone,0.6483443410015097,0.577391304347826,0
Quinnipiac,2.8,North Carolina,49,1031,lv,Live Phone,0.6483443410015097,0.4482608695652174,0
Quinnipiac,2.8,North Carolina,50,1031,lv,Live Phone,0.6483443410015097,0.4482608695652174,0
SurveyUSA,2.8,Washington,57,703,lv,Online Panel,0.6483443410015097,0.3056521739130435,0
East Carolina University,2.6,Georgia,45.8,701,lv,IVR/Text-to-Web,0.6483443410015097,0.30478260869565216,0
Fairleigh Dickinson,2.6,NA,50,806,rv,Live Phone/Text-to-Web,0.6483443410015097,0.35043478260869565,1
TIPP,1.8,NA,49,1212,lv,Online Panel,0.6270890852730561,0.5269565217391304,1
HarrisX/Harris Poll,1.5,NA,49,2596,lv,Online Panel,0.6270890852730561,1,1
HarrisX/Harris Poll,1.5,NA,51,2596,lv,Online Panel,0.6270890852730561,1,1
HarrisX/Harris Poll,1.5,NA,51,3145,rv,Online Panel,0.6270890852730561,1,1
HarrisX/Harris Poll,1.5,NA,49,3145,rv,Online Panel,0.6270890852730561,1,1
Morning Consult,1.9,NA,50,8647,lv,Online Panel,0.6270890852730561,1,1
Ipsos,2.8,NA,45,807,rv,Probability Panel,0.6270890852730561,0.3508695652173913,1
Ipsos,2.8,NA,47,769,lv,Probability Panel,0.6270890852730561,0.3343478260869565,1
Ipsos,2.8,NA,41,938,a,Probability Panel,0.6270890852730561,0.4078260869565217,1
Trafalgar Group,0.7,Arizona,46,1090,lv,IVR/Live Phone/Text/Online Panel/Email,0.6270890852730561,0.47391304347826085,0
Trafalgar Group,0.7,North Carolina,44.6,1085,lv,IVR/Live Phone/Text/Online Panel/Email,0.6270890852730561,0.4717391304347826,0
Trafalgar Group,0.7,Nevada,45.6,1088,lv,IVR/Live Phone/Text/Online Panel/Email,0.6270890852730561,0.47304347826086957,0
Morning Consult,1.9,NA,50,8901,lv,Online Panel,0.6065306597126334,1,1
Elway,1.9,Washington,57,401,lv,Live Phone/Text-to-Web,0.6065306597126334,0.1743478260869565,0
Morning Consult,1.9,NA,50,8902,lv,Online Panel,0.5866462195100318,1,1
HarrisX,1.5,NA,51,2010,rv,Online Panel,0.5866462195100318,0.8739130434782608,1
HarrisX,1.5,NA,51,1692,lv,Online Panel,0.5866462195100318,0.7356521739130435,1
HarrisX,1.5,NA,51,1622,lv,Online Panel,0.5866462195100318,0.7052173913043478,1
HarrisX,1.5,NA,49,2010,rv,Online Panel,0.5866462195100318,0.8739130434782608,1
HarrisX,1.5,NA,49,1692,lv,Online Panel,0.5866462195100318,0.7356521739130435,1
HarrisX,1.5,NA,49,1622,lv,Online Panel,0.5866462195100318,0.7052173913043478,1
YouGov,3,NA,51,2712,lv,Online Panel,0.5866462195100318,1,1
MRG (Marketing Resource Group),1.8,Michigan,44.9,600,lv,Live Phone,0.5866462195100318,0.2608695652173913,0
Morning Consult,1.9,NA,50,9556,lv,Online Panel,0.5674136687970038,1,1
Marist,2.9,NA,52,1401,lv,Online Panel/Text-to-Web,0.5674136687970038,0.6091304347826086,1
Marist,2.9,NA,51,1708,rv,Online Panel/Text-to-Web,0.5674136687970038,0.7426086956521739,1
RMG Research,2.3,NA,50,2945,lv,Online Panel,0.5674136687970038,1,1
Siena/NYT,3,Pennsylvania,50,857,rv,Live Phone,0.5674136687970038,0.3726086956521739,0
Siena/NYT,3,Pennsylvania,49,857,rv,Live Phone,0.5674136687970038,0.3726086956521739,0
Siena/NYT,3,Pennsylvania,50,857,lv,Live Phone,0.5674136687970038,0.3726086956521739,0
Siena/NYT,3,Pennsylvania,49,857,lv,Live Phone,0.5674136687970038,0.3726086956521739,0
Siena/NYT,3,Arizona,46,808,lv,Live Phone,0.5674136687970038,0.35130434782608694,0
Siena/NYT,3,Arizona,45,808,lv,Live Phone,0.5674136687970038,0.35130434782608694,0
Siena/NYT,3,Arizona,45,808,rv,Live Phone,0.5674136687970038,0.35130434782608694,0
Siena/NYT,3,Arizona,44,808,rv,Live Phone,0.5674136687970038,0.35130434782608694,0
RMG Research,2.3,Georgia,47,731,lv,Online Panel,0.5674136687970038,0.31782608695652176,0
